userName,content,score,at
Asma Rani,Bismilla hirrahmanirhiiim,5,2022-08-02 00:22:28
Abu Hatim,Aplikasi bagus gampang digunakan,5,2022-08-01 23:49:03
Amanda Way,Lovew,5,2022-08-01 23:24:52
lili somantri,Sangat membantu.baik untuk metting jarak jauh,3,2022-08-01 23:17:40
RUMAH THRESHING YTKI Channel,Sangat menikmati penggunaan aplikasi ini.,5,2022-08-01 22:54:33
Hertanto Anto,Ok,5,2022-08-01 22:04:58
Yeeni_ borotoding,Best aplikasi,4,2022-08-01 21:54:31
Dio Mukidah Syamputra,Alhamdulillah,4,2022-08-01 21:54:27
Arip Hidayatulloh,Very good,5,2022-08-01 21:35:58
Ardi Cidori,Ok,4,2022-08-01 15:56:57
Pandawa Lantai 2,Bajuz,5,2022-08-01 15:44:32
Rizqiyah Aja,"Aplikasi zoom,bagus",5,2022-08-01 14:30:54
Aryanti Lover,super mantul... lancar segalanya,5,2022-08-01 14:25:23
Abu Andriwifa,Excellent,5,2022-08-01 14:23:28
Dra Lilis Suryani,Baik,4,2022-08-01 14:12:24
Manazil 123,Suka,5,2022-08-01 14:09:55
M Rizal Taufikurohman,More helpfull,5,2022-08-01 13:50:54
Aihana *,👍,5,2022-08-01 13:43:02
Sutoyo Toyo,Mntap,5,2022-08-01 13:24:15
salwa apede,tidak ada suara,2,2022-08-01 13:12:37
Deny Harianto,Bagus,5,2022-08-01 12:43:58
Muhammad Firdaus,Ngejual akun lu ya,4,2022-08-01 12:23:52
MbahKliwon Music,"Makasih support nya,",5,2022-08-01 11:51:49
Bayu Akbar F,Berikan support background untuk hp realme dong tim dev,3,2022-08-01 11:37:04
Steven Diyanto,Aplikasi nya bagus,5,2022-08-01 11:19:41
ama happy,Good,5,2022-08-01 11:10:01
axel aldrik azami,Kece,5,2022-08-01 09:11:38
Rakha Dwiputra,Knp harus ada syarat² hp yg bisa untk ganti background?,1,2022-08-01 09:10:39
Putrinovitasari,Kenapa saya tidak bisa menginstall aplikasi ini padahal kuota internet saya mencukupi dan jaringan bagus,1,2022-08-01 08:32:07
Fitriana Sinaga,Oke,5,2022-08-01 08:09:27
deranmoy gaming,Verry good,5,2022-08-01 06:38:58
Haerani Tasya Davva,nice,5,2022-08-01 06:03:56
Mawang Dodi asmara,Sangat baik,5,2022-08-01 05:44:17
Maria Ria,Kenap gak bisa diinstal,3,2022-08-01 05:42:36
Dadan Nurzian,Ok,4,2022-08-01 05:18:32
aditia Saputra,Sangat cocok untuk di gunakan sebagai alat komunikasi selain WhatsApp,5,2022-08-01 04:30:52
Arrover Giarro,Sungguh terbantu masalah aku selama ini. 😁,5,2022-08-01 04:28:40
Caila Adelle,School lmfaoo,5,2022-08-01 04:05:20
rony osmond,Manta👍,5,2022-08-01 02:16:59
"thobi'in, S. Hum Roy",Ok,5,2022-08-01 02:11:05
Andi Tawakkal,Sangat oke,4,2022-08-01 01:21:53
alferido arsen,Ok,5,2022-08-01 01:08:16
Awaluddin Arif,Good aplication,5,2022-08-01 00:52:22
Eko Sukarso,Ok,5,2022-08-01 00:46:00
ganisha vega nugraha,Jadi gw gak jadi zoom,1,2022-08-01 00:32:22
Veronica Naniek,Zoom sangat diperlukan shg dg kesempatan up date berdampak pada kelancaran kegiatan,5,2022-08-01 00:29:34
Oki Rekshabuana,Nice Nerds,5,2022-08-01 00:00:57
Japras Sul,Bagus sekali Kenapa masi lihat lihat?!??,5,2022-07-31 23:57:48
Nino putra,Mantap seklai,5,2022-07-31 23:42:56
Romi Abdilah,BISMILAH .. Insya Allah sudah Bagus Aplikasi ZOOM Metting ini. Regards by Romi,4,2022-07-31 23:38:02
Candra wpongtasik,Versi 5.1,5,2022-07-31 23:01:35
the bwee,Masuk hadirat Tuhan bersama n mnikmati Firman yg menuntun langkah stiap hari.,5,2022-07-31 22:42:45
Yossa Achoy,Kualitasnya bagus baik audio maupun video nya.,5,2022-07-31 22:31:44
Aty D.A.L,Bagus,5,2022-07-31 18:29:46
Langlang Buana,Bagus,4,2022-07-31 16:29:39
Aripin Minallah,Baik sekali,5,2022-07-31 15:54:12
ovanda olivia,"apk nya pilih kasih banget, masa virtual background nya gbsa:)",3,2022-07-31 15:51:12
Luthfi Hasan,Di jajal dikit lah yaa,5,2022-07-31 14:31:32
Frans Lanang,Belum ada menu background,2,2022-07-31 14:21:16
Karmin Thea,mudah dan jelas,5,2022-07-31 14:21:12
Ibrahim Adji,lumayan,5,2022-07-31 13:34:24
Sara Kogoya,Zoom sangat membantu bagi kami yg tdk bisa belajar karena pandemi selama ini terimakasih zoom,5,2022-07-31 13:25:29
Amir Pru,Kenapa redmi note 10 ga bisa virtual background,3,2022-07-31 12:40:06
Nur Muthmainnah Intane,Saya suka memudahkan saya dlm melakukan vidio call dgn org banyak,5,2022-07-31 12:38:49
yogi krishantoro,Good,5,2022-07-31 12:37:28
Latifah Dwi,Good,5,2022-07-31 12:17:53
Kinder Eze,Not Bad,4,2022-07-31 12:17:38
Bilal Rizqi,Bagus,5,2022-07-31 11:48:59
Rudy 6272,Kok enggk bisa,1,2022-07-31 10:05:51
Qadri RMZ,Mantap,5,2022-07-31 09:54:20
Hardi Pgk2021,Mantap,5,2022-07-31 09:29:23
ARI S.P KAMENHUB,Kasih bintang 3dlu,3,2022-07-31 08:59:31
Riska,Kenapa saya ga bisa download ya,5,2022-07-31 07:45:09
supri das,This appliances help me,5,2022-07-31 07:23:57
Donny Roy Andres,Good 👍👍,5,2022-07-31 07:03:41
Asiana Kanache,Dulu zoom mentang Sekarang ubah zoom rapat Aduh susah Nggak bisa masuk Pada pin kode benar Sudah lain sekarang Kembali seperti semula,1,2022-07-31 05:53:47
Antonius Bona,Good,5,2022-07-31 05:04:27
Simamora Masri,Izinkan saya download aplikasi Zoom,5,2022-07-31 03:10:25
Maykendro Panjaita,Aplikasi ini membuat kota internet cepat habis.jika bisa aplikasi ini,1,2022-07-31 02:46:02
Satriya Ss,Bagus bekerja sama dgn organisasi.,3,2022-07-31 01:57:26
Sarah Endang,Ok,5,2022-07-31 01:11:24
Irma Darmawan,"Aplikasi yang membantu anak saya saat dia sedang ingin ikut lomba kihajar, terimakasih ya",5,2022-07-31 01:07:45
Erna Solusi,Siip. Sangat membantu,5,2022-07-31 00:54:18
Remilia Kehi,Bagus sekali,5,2022-07-31 00:46:12
Cakra buana,Zoom 👍👍👍,5,2022-07-31 00:30:59
Ozy jhn Crav,ok....,5,2022-07-30 21:12:58
Kus Yani,Kusyani,1,2022-07-30 17:57:42
Amanda Putri,"Makin jelek nih, ada garis ijo pula di screen 👎",1,2022-07-30 17:24:05
Samuel E. Ndraha,"Mohon perbaikannya, soalnya saya gak bisa ganti Background di Zoom.. Kadang kalau Zoom di haruskan pasang Background tentang acara yang saya ikuti.....",5,2022-07-30 16:34:31
Yon Suyono,Cukup membantu,5,2022-07-30 14:28:13
Angkatan 2009,Jos,5,2022-07-30 13:32:11
vivo vivo,ok,5,2022-07-30 12:23:30
Arum N.,Siiipppp,5,2022-07-30 11:10:56
dedy zanetti,"Virtual Background nya tidak muncul,,, padahal Spesifikasi sudah sesuai",1,2022-07-30 10:16:25
Benny michael Hariandja,Bagus,5,2022-07-30 09:48:42
GSJA Anazopureo,Bagus,5,2022-07-30 08:07:54
gerry gusmawan,Sangat bagus,5,2022-07-30 07:21:02
Farwin Novriansyah,Good.,4,2022-07-30 07:14:37
Febrian Kanza,Baik dan bagus,5,2022-07-30 06:48:27
Mukmin Hidayat,Kurang puas karna aplikasinya gak bisa di dounload,5,2022-07-30 04:34:59
Mochaieman Eman,Diinstall selalu gagal,5,2022-07-30 03:31:45
Titi Meniti,update lagi😫☹️,5,2022-07-30 03:22:58
Yamis Dapla,Saya,5,2022-07-30 03:16:33
Ruli Hidayat,Bagus,5,2022-07-30 03:10:53
Yoru Kun,Sangat membantu terima kasih,4,2022-07-30 02:56:54
fitri setianingsih,Oke,5,2022-07-30 01:46:49
Arsad Suandi S.P.D,Bagus sekali,5,2022-07-30 01:29:50
Josh Bernard,"when i tried to start a meeting, it doesn't start, just closed immediately.....i am on android 12, 6gb of ram",1,2022-07-30 01:14:53
Sammy Musaling,Great,5,2022-07-30 01:05:44
kaka fighter,Good,5,2022-07-30 00:03:58
RIO GEOVANI,Aplikasi bagus untuk pertemuan online,5,2022-07-30 00:02:57
noufelly yoshitaki Ramadhani21,Aplikasi ini Sangat membantu ❤️,5,2022-07-29 23:51:37
Sila Setiawan Miharja,terimakasih,5,2022-07-29 23:42:10
Rakan Syahren,Tol,5,2022-07-29 22:24:29
Toni Trisilo,Very good application,5,2022-07-29 22:00:03
beeoneinfo. com,Bagus,5,2022-07-29 19:37:12
Tzo Jojo,Sangat bagus pokoe,5,2022-07-29 17:45:15
Andre Syahputra,Parah tidak bisa di donload,1,2022-07-29 16:41:03
lisna Wati,Mantap,5,2022-07-29 15:30:52
Gumilang Adhi,"Aplikasi bagus, tp bikin pulang malem terooossssss",1,2022-07-29 15:03:51
Aku Niswati,User friendly,5,2022-07-29 15:03:05
Priska Simamora,Bgus,5,2022-07-29 11:38:05
Muhammad Yanuar Ishaq,Bagus,5,2022-07-29 11:19:33
MUSIC TAG ENTERTAINMENT,Bermasalah terus.,1,2022-07-29 10:38:30
Endro Yunianto,"Hati hati tidak bisa unsubscribe, menu unsubscribe hilang, parah ini aplikasi, response pengembangnya jelek",1,2022-07-29 10:13:55
Eko Hasanuddin,Sulit di Download,1,2022-07-29 09:24:37
Mikael Simanullang,Aplikasi Zoom ini berguna banget untuk anak-anak,5,2022-07-29 09:20:14
Ervin Rudi Haryadi,Bagus,5,2022-07-29 08:48:21
Meydy Pesak,Good,5,2022-07-29 08:09:30
Intan Fitriah 23,Agak lambat y trus jangan mengecewakan,5,2022-07-29 07:29:03
Bosh,"Sudah bagus, terus tingkatkan",4,2022-07-29 07:20:24
Zacky Maulana,Sangat bagus,5,2022-07-29 07:16:35
Blackblew Blackblew,Kehapus semua deh,1,2022-07-29 07:07:53
bakri karawang,Ok,5,2022-07-29 06:31:48
Fajar Firmansyah,Ok bet,5,2022-07-29 06:29:33
wahyugesang gesang,Bagus,5,2022-07-29 04:58:40
Migarhoga Hoga,Coba dulu,4,2022-07-29 04:44:51
Cherish Hudari,Keren,5,2022-07-29 04:05:16
veny yunindah D.R,Aplikasi ini sangat membantu sekali,4,2022-07-29 03:58:58
Hatip Budiono,Saya meng instal aplikasi zom tapi tidak bisa,5,2022-07-29 02:52:48
Prace Riyadi 09,Ok,5,2022-07-29 02:34:59
Intan Aurelia Manurung,Zoom ini membantuku untuk belajar walaupun di rumah aku juga bisa bertemu guru dan temanku 5 bintang untuk aplikasi ini 😊,5,2022-07-29 02:31:07
Eriku Setiawan,Baik,4,2022-07-29 02:06:28
Alia Jekson,Mantap,5,2022-07-29 01:38:19
Hemi Agustin,Sangat puas,5,2022-07-29 01:18:36
Kasiran Kasiran,Goosd,5,2022-07-29 01:14:23
fatira fatira,Very good,5,2022-07-29 01:05:00
Tinah Satinah,Good,5,2022-07-29 00:06:37
Mitha KR,"Kenapa audio aplikasi zoom itu pelan sekali? Padahal kalau dengar Spotify, youtube, dll suaranya baik2 aja",3,2022-07-28 21:42:31
Lailiani Susanto,Baik,4,2022-07-28 20:47:18
Muh Ajrun Zakib,Bagus 👍,5,2022-07-28 20:18:27
Iin 0ktaviani,Bagus sangat membantu,5,2022-07-28 19:38:29
"Junedi, S.E",Good job aplication,5,2022-07-28 18:33:44
Imron MB,. ;.¶.obooooo955 8;39 ¶.9¶ hb,5,2022-07-28 17:09:58
santo santo,Sangat memuaskan,4,2022-07-28 16:36:58
Eka Gaine,Bagus untuk sekolah,5,2022-07-28 16:13:41
Agung Heriyanto,Good,5,2022-07-28 15:31:32
LapoBator Makassar,"Saya suka aplikasi ini bisa pake belajar,ngobrol dan meeting poqok nya mantap👍👍👍👍🙏👍😁😁👍✋✋✋👌",5,2022-07-28 15:23:50
yoyoh sekar,keren,5,2022-07-28 14:52:16
Habib Ansori,Good,5,2022-07-28 14:27:47
Nur Hasanah,Trimakasih sangat membantu...,3,2022-07-28 13:17:17
Heloo Heloo,Saingan bermanpaat,5,2022-07-28 13:12:02
Su Toro,"Saya baru pertama pake setelah vakum 2 tahun ga pake zoom tapi kenapa tampilannya beda sari yang dulu yaa, untuk fitur turn on camera sama mic dimana si saya cari2 ga nemuu padahal dulu ditampilkan, takutnya pas lagi zoom mic/camera nyala. Tolong diperbaiki",1,2022-07-28 13:11:55
Kholil07 Kholil,Bagus bgt,5,2022-07-28 12:21:32
CK7 HENRIS,Klo di tarik data absensi durasi jam. Kadang nga sesuai. Beda sama kenyataan.. udah masuk zoom/webinar 5 jam. Tapi tidak terbaca jam keluar dan masuk... 👎,2,2022-07-28 12:20:44
Yeni Prasetya,Bagus semua,5,2022-07-28 12:19:10
Yudha Pradana,Tiap bulan harus update... Ini zoomnya belgedes,1,2022-07-28 12:01:12
Suharno Pml,Baik,5,2022-07-28 11:24:21
Ernita Rutua,Good,5,2022-07-28 10:56:31
Cha Cha,Sangat membantu...,5,2022-07-28 10:53:18
Muhamad Sadulloh,Bagus,2,2022-07-28 10:38:49
Joe Lee,Anjeng,1,2022-07-28 10:32:20
Erland Cahyo S,Bagus,5,2022-07-28 10:31:26
Widya Sari,Updatenya sungguh lemot,3,2022-07-28 10:15:00
Merdy Rotty,Sangat membantu trimakasih,5,2022-07-28 09:21:17
Sandy Septiady,Bagus,5,2022-07-28 08:56:39
Achmad Fuji Asro,Zzz.obkn,5,2022-07-28 08:53:29
budiono abdullah,Lumayan membantu kegiatan daring,5,2022-07-28 07:57:45
Mala Sari,Kok saya gak bisa di downlod,1,2022-07-28 07:18:40
Tri Witjaksono,Bagus,5,2022-07-28 06:12:16
Risnandar Ahmad,mm l; mommy,3,2022-07-28 05:47:37
Soeikhim 99,Bgus,1,2022-07-28 05:18:24
Sauqie channel solo,Manfaat,5,2022-07-28 05:14:52
Armi Anto,Saya coba duku,3,2022-07-28 05:12:02
maria agnes liesye elizabeth,Ok,5,2022-07-28 05:10:25
Anton Subroto,Ok,5,2022-07-28 04:33:09
Zidan,karna aplikasi ini saya jadi nambah teros tugase asm,1,2022-07-28 04:18:32
Carim Carim,Ok baik,5,2022-07-28 04:09:04
Yulianti Susanto,"Saya kecewa sama zoom saya udh masukin passcode yang bener masih aja ngak bisa, perbaiki",1,2022-07-28 04:03:51
Dicka Sp,Sangat tidak ramah,1,2022-07-28 03:15:01
RASYIDIN ALATIF,Mantap,5,2022-07-28 03:02:43
Agusman Lahagu,Mantap,5,2022-07-28 02:49:48
Chaerudin Udin,Bermanfaat,5,2022-07-28 02:48:28
Amran Agama,Sangat baik,2,2022-07-28 02:24:16
Abie Gayo,nice,5,2022-07-28 02:18:53
Rizal Rahman,YAMETE REZA :3,5,2022-07-28 02:17:35
Reza Wahyudy,yamete min,5,2022-07-28 02:15:47
delia artalita channel,Bantu saya nanti saya kasik bintang 5,2,2022-07-28 02:13:41
Maria Cornelia Soi Sinas,Baik,5,2022-07-28 01:33:26
nial setiawan,good,4,2022-07-28 00:39:05
Tika Sembiring Milala,Good,5,2022-07-28 00:25:46
Nurdin Singadimedja,"sangat baik, gambar dan suara jernih yang dapat ditangkap,kecuali pesawat/perangkat mereka yg bermasalah.",4,2022-07-28 00:01:45
Assyifa Aulia,Cakep kokk😁😁😁😁,1,2022-07-27 23:58:26
NOVITA INDRIYATI,Bagus,5,2022-07-27 23:47:17
watam muthohir,Oke,3,2022-07-27 23:32:36
Bambang Setiawan,sangat memuaskan,5,2022-07-27 17:33:24
tjen siong sing,sangat berguna,5,2022-07-27 16:45:02
Caesariski E M,Good,5,2022-07-27 15:54:01
joko sumantri,Ok,5,2022-07-27 15:30:07
Nyimas Hanafiah,Good,5,2022-07-27 15:27:52
Tiya Marisha Tsani,Bagus aplikasinya,5,2022-07-27 15:00:17
Nadia Miska,Bagus,5,2022-07-27 14:45:36
Gojek Jakarta Driver,Luar biasa,5,2022-07-27 13:58:03
NovlieN GumolunG,👍👍,5,2022-07-27 13:30:05
Choric Chocho,Gak bisa dipakai...,1,2022-07-27 13:14:45
KEIKEI,Goooooood emazing,5,2022-07-27 13:12:54
Muhamad Dhofir,Bagus,5,2022-07-27 13:08:54
Hamzah Hasim,Belum paham,5,2022-07-27 12:58:27
Raka Azhar,Mantaaappp,5,2022-07-27 12:48:52
Bg Jaul,Versi yang baru ini kenapa tidak bisa copy link ? 😭 Terpaksa kembali ke old versi deh,2,2022-07-27 12:46:15
Rafli Briliyanto,baik,5,2022-07-27 12:34:39
Purnomo 1983,Bagus,5,2022-07-27 11:57:26
O'fah Zulkifly,Demi kerja aku rela download,5,2022-07-27 11:38:17
Yefta Alexkristiawan,Ini gimana kok gakbisa update,5,2022-07-27 10:32:20
you D_Kristanto,Ok.,4,2022-07-27 10:23:07
Overworld 253,"Bagus aplikasi ini bisa chat, share screen ,muted dan unmuted, stop video dan berkomunikasi menggunakan video dan suara makasih banget udah buat app kayak gini udah gitu aja ulasannya bye Byeeeeee",5,2022-07-27 10:20:45
Agrotech GMG Sahabat Corteva,Oke,3,2022-07-27 10:17:40
Syaza Zahira Atqiyya,Semua sih ok tapi kadang kadang tu ya kayak ke left sendiri padahal internet kencang,4,2022-07-27 09:30:58
MAX FIONIDES TAKAKOBI,Bntang 3 dulu yh nnti klw sdah bisa di kasi bintang 5,3,2022-07-27 09:25:09
Verdyansyah Akbar Pratama,Bagus,5,2022-07-27 09:07:30
Kobus Seran,Kasih tiga bintang aja dulu ya,3,2022-07-27 08:54:51
Wahyu Susila Nugraha,Good,5,2022-07-27 08:29:42
Nurdin Rohendi,Ok,5,2022-07-27 08:26:11
Ps Jhoni Natanael Sinuhaji TV,"Mohon di perbaiki, kualitas suara sering terganggu suara yang mendengung.. Sehingga tidak terdengar suara lawan bicara.",3,2022-07-27 08:13:57
Ketrin Riwu,Terimakasih.,4,2022-07-27 07:53:58
Shandy Wijaya khusuma,Bagus,5,2022-07-27 07:44:27
Adhar Goncing,Ok,4,2022-07-27 07:35:55
Rustandi Suhermawan,Suara dan gambar agus,5,2022-07-27 07:30:42
Nia Waworuntu,"zoom saya tdk bisa pke background di hp,sudah update",3,2022-07-27 06:55:15
Madalle Agil,Good,5,2022-07-27 06:47:22
Cun Yen,Tidak terlalu bagus 🤦,4,2022-07-27 06:16:55
Nurman Sahla,lumayan ya,4,2022-07-27 05:57:48
Weri Yulia,Bagus sih tapi ga bisa ganti foto profil dan ga ada baground nya maaf aku cuma bisa kasih bintang tiga,3,2022-07-27 05:47:11
handoko Sunoto,Mantap,5,2022-07-27 04:11:37
Imijati Ruslie,"Baik, jelas",5,2022-07-27 03:49:51
Shae Land,Ok,4,2022-07-27 03:34:55
Yahmin Yahmin,Baru meggunakan aplikasi zuum,3,2022-07-27 03:17:07
Pengguna Google,Ok,5,2022-07-27 03:11:34
Zuli 789,"Pembelajaran intrakurikuler yang beragam, sehingga peserta didik memiliki cukup waktu untuk mendalami konsep dan memperkuat kompetensi, membuat siswa merdeka",5,2022-07-27 03:10:59
bengkel feny motor Baamang Tengah SAMPIT,Succes,5,2022-07-27 02:39:32
Bambang Hermansah,Mantabb,5,2022-07-27 02:33:35
gaguk bramantyo condro negoro,Good,4,2022-07-27 02:21:35
Arief,Bagus banget,5,2022-07-27 02:14:55
Norwita sari,susah masukan link,1,2022-07-27 02:14:16
Mardhi,Aplikasinya Mantul,5,2022-07-27 02:07:56
alfa aja channel,Mantap,5,2022-07-27 02:06:33
Willi Mawikere,Useful,5,2022-07-27 01:53:30
Hariyani 2017,Ok,5,2022-07-27 01:51:50
Nata lia,Good,5,2022-07-27 01:37:11
loncengonline times,Done,5,2022-07-27 01:35:52
Supardi 1,Ew,5,2022-07-27 01:32:20
Abdullah AM,Banyak membantu,5,2022-07-27 01:25:47
ZaRa Aceh,sangat bermanfaat,5,2022-07-27 00:59:12
Rudy Asnady,Apk sangat cocok di era sekarang,5,2022-07-27 00:38:45
AX TARIGAN,Aplikasi yang sangat bagus tapi hp saya tidak bisa menggunakan virtual backround. Tolong ditingkatkan,4,2022-07-27 00:29:31
Raphael SIDDARTH,Saat ini tiada kena covid lagi ya,5,2022-07-27 00:22:44
Rivana,"Aplikasinya mendadak tidak bisa di download, padahal ruang penyimpanan sudah dikosongkan",2,2022-07-26 23:39:29
iwan kresnadi,Bagus..lancar dalam berkomunikasi,5,2022-07-26 22:50:45
Aziz Tegar Ramadhan,Kumunikasi jarak jauh tanpa nominal jumlah peserta 😜👍,5,2022-07-26 20:54:37
guancheng lubu,😳😳😳👍👍👍👍👍,4,2022-07-26 17:18:19
Oei Tjing Yen,Bagus,5,2022-07-26 17:05:16
daniel Pasaribu,so far so good,3,2022-07-26 16:51:02
Kirisuto Sinja,Good app,5,2022-07-26 15:03:21
Chairony Purnomo,"Oke ni zoom,bisa kumpul virtual dari hp, kasih full starts..ok",5,2022-07-26 14:59:32
GUINEVERE Mobile Legend,Susah mendapatkan kode aktivasi,1,2022-07-26 14:39:34
Yesaya Rumahorbo,Mantul,5,2022-07-26 14:13:17
Muhammad Syafii,"Di hp ku kok gak ada suaranya, padahal sedang ada rapat penting",1,2022-07-26 12:45:41
Hery Rohi,Very good,5,2022-07-26 12:17:59
Rimba Hutan,Aku Suka Amplikasinya buat Bisniss,5,2022-07-26 12:00:53
heneng wahyudi,Keren,5,2022-07-26 12:00:37
iwan kurniawan,10 poin of 10.,5,2022-07-26 10:42:48
Neysa Anindya,Aplikasi nya bagus kok👍👍,5,2022-07-26 10:10:17
Heru Trijatmiko,Mantap....,5,2022-07-26 10:06:17
Eka Sri,Virtual background tidak support pada hp tertentu,3,2022-07-26 08:54:55
muhamad husen,Puas makeknya,4,2022-07-26 07:16:28
Ilham Maulana,Good Job.,1,2022-07-26 07:00:54
Reza Rayan,Saya akan belajar di aplikasi inh,5,2022-07-26 06:53:11
El Syarief,Ok,5,2022-07-26 06:33:27
MarqAjayci,👍,5,2022-07-26 06:14:25
Tiwi Amanda,Aplikasi ini sangat membantu saya,4,2022-07-26 06:08:24
Ridwan Saleh,Thank you for zoom cloud meetings,5,2022-07-26 05:18:55
Bppkecmehalaan Mehalaan,Sangat membantu sekali,3,2022-07-26 05:13:18
rudi ansyah,Mantap,5,2022-07-26 04:53:12
Siti Mutia,Aplikasinya tdk bisa di Download,1,2022-07-26 04:41:38
Casilda Nediva Nugroho - 3E / 4,Bagus cuman kadang suka keluar sendiri pas sekolah,5,2022-07-26 03:55:30
Asep Doni,Manfa'at sekali,4,2022-07-26 03:48:04
ENANG Iyus,Good,5,2022-07-26 03:09:33
Ratna Dewi,Nggak bisa di bagi wa,5,2022-07-26 03:08:12
Andi Suwandi,Bagus,5,2022-07-26 03:01:28
Riski Fauzi,"Standar jelek, suara harus disetting dulu seharusnya suara langsung ada",1,2022-07-26 02:59:42
Muhammad Anggi,Jelek bet gila,1,2022-07-26 02:49:46
Deko Pranando,Download lamaa,1,2022-07-26 02:43:01
IM ALDOGANS,Kok raiso login kontl,1,2022-07-26 02:31:44
Oka Susanto,Oke kan bae,5,2022-07-26 02:31:03
D4d4n H4md4n1,Ok,4,2022-07-26 02:28:18
GURUH FALAH,Mohon ditingkatkan agar bisa merekam zoom di android,3,2022-07-26 02:17:03
Rina Brebes,Good,5,2022-07-26 01:21:03
Giorgio Xaverio,Boros memori borus kuota dan bikin akun coc kena hack,1,2022-07-26 01:16:16
W.Zainal Abidin,OK,5,2022-07-26 01:06:08
Rival Aditya,Apk tomlol,1,2022-07-26 00:18:30
Vineeta Hiu,Bagus zoom bisa mabar,4,2022-07-25 23:58:06
Rendi Rahman,Mantap,5,2022-07-25 19:54:29
Putri Mahfira,"saya tidak dapat mengakses fitur background pada android, padahal android saya sudah android 10 dan tidak lawas, tolong diperbaiki, jangan hanya untuk pengguna ios saja",2,2022-07-25 16:19:36
Nur AnaAralle,Bgus,2,2022-07-25 15:45:30
Syamsurachmat Lib,Bagus,5,2022-07-25 14:29:50
Mikael Septianrahandra,"Ketika dipakai selalu bermasalah. Kamera tidak bisa menyala walaupun saya sudah memberi izin kamera, penyimpanan, dan lain-lain. Terkadang aplikasi ini tidak bisa dijalankan.",1,2022-07-25 14:13:03
RCQ Ainurrohman,Sangat membantu urusan kami,5,2022-07-25 13:14:04
Rakha Azaria Mahardika,Ok,5,2022-07-25 12:59:33
M.Bayu Agung,25 Juli 22 Bagus buat Kopdar GOJEK 😁😁😁,5,2022-07-25 12:56:46
Nofa Priana,Gak bisa salin url,2,2022-07-25 12:53:00
EXPLORASION Dedikasi,Good,5,2022-07-25 12:29:44
Samsul Hadi,Mantaaab,4,2022-07-25 12:25:30
albarra puspita,Sangat membantu sekali dimasa pandemi seperti sekarang,5,2022-07-25 11:59:46
Media Channel,Mantab,5,2022-07-25 11:36:19
Tatang Rudi Wicaksono,"saya sudah instal aplikasi zoom, akan tetapi ada sedikit masalah dan tolong segera diperbaiki. Masalahnya yaitu saat kita buat room keeting, saat kita meng copy ataupun ingin menshare link meetingnya tidak bisa. saat kita kirimkan melalui sms email dll munculnya ""${gabungRapatUrl}"" Tolojg diperbaiki",4,2022-07-25 11:09:34
richi ki,Membantu,5,2022-07-25 10:27:15
INI INI INI INI,Sayang hp xiomi 5s gada bagroud nya buat zoom,2,2022-07-25 09:18:25
Kimiko Karim,I cant even sign my acc💀,1,2022-07-25 09:01:38
Kampong Inggris Pare Brilliant,Good,5,2022-07-25 09:00:32
candra warman,Ok,5,2022-07-25 07:13:24
Ken Rachmatsp,Ok,5,2022-07-25 07:11:31
Darmansyah Amron,"Bagus dan sangat membantu,bermanfaat",5,2022-07-25 05:02:23
Iman Santoso,Re,1,2022-07-25 04:49:13
NURMAN DD007,ok,5,2022-07-25 03:32:10
Yusuf Hanafi,Bagus,5,2022-07-25 03:29:51
Mardiani Masuku,"Aplikasinya sangat membantu dan memudahkan, maaf kenapa setiap sy mengintal zoom tdk bisa ya..?",5,2022-07-25 02:58:01
Aziz Aziz,Good,5,2022-07-25 02:42:07
SEVEN MUSIC_MIX,"Mantap, 2022 Juli sangat membantu..",5,2022-07-25 02:37:50
genshin impact,Is good,4,2022-07-25 02:35:35
And Tina,Ok,5,2022-07-25 02:24:12
Ira Kencana,Terbaik,5,2022-07-25 02:00:39
Raja Shandy,Mantab aplikasi mendidik bisa mempermudah urusan saya,5,2022-07-25 01:42:40
Nina Noor,Ok,5,2022-07-25 01:17:31
SMA NEGERI 1 KARANGTENGAH,Good,5,2022-07-25 01:16:15
Gibra Official,Virtual backround tidak bisa diganti sangat mengecewakan,2,2022-07-25 01:07:53
Nurul Muawanah,Jos,5,2022-07-25 00:41:47
farah aisha,Fya,5,2022-07-25 00:40:46
Nicolas Girik Epic2,Can not open in huawei,1,2022-07-25 00:39:17
andi hermanto,😇,5,2022-07-25 00:11:01
Mahdi Abdurrahman,Bagus sekali,5,2022-07-25 00:03:24
Christina Siahaan,bagus🦔💞,5,2022-07-24 23:54:49
Sassy diva Indiana XI IPA 2,issokayy nottubi okayy akwoakwoka,5,2022-07-24 23:36:42
Amoi Sipayung,Gak bisa di Update.,2,2022-07-24 23:32:43
Khanza Zahira,Sangat menarik,4,2022-07-24 23:04:14
ERJUWANDY P.,Perfect..,4,2022-07-24 18:04:46
wangdhu 1979,Ok Oce,5,2022-07-24 15:55:38
Mojan Mojan,mantaf,5,2022-07-24 14:07:00
Aldridge Nathan,Zoom nya berguna untuk sekolah di rumah atau rapat di rumah,5,2022-07-24 13:15:59
Alya Trisnawati,Ok. Tp susah msk,5,2022-07-24 13:08:49
Laurensius Leba,Ok,3,2022-07-24 13:03:33
Lidya Yohana Siahaan,Rubend Ferry siahaan,5,2022-07-24 12:12:58
