userName;content;score;at;Nilai
Yustina Zendratö;ga bisa didowloand !!;3;2021-07-15 10:07:20;NEGATIF
cahaya bulann;gak bisa di dowloand!!;1;2021-07-15 10:03:55;NEGATIF
Hamim Amim;Sangat bagus;5;2021-07-15 09:52:21;POSITIF
Mardjuki 55;Sangat mudah untuk digunakan sebagai bahan informasi .;5;2021-07-15 09:51:49;POSITIF
Muhammad Faizal Rifai;Gk tau;5;2021-07-15 09:43:27;POSITIF
Risal Nusu Yusuf;Good meet;5;2021-07-15 09:15:12;POSITIF
Flora Mardiani;Sipppppp;5;2021-07-15 09:12:45;POSITIF
Ica Ade;bagus sih tapiiii.....;1;2021-07-15 09:07:34;NEGATIF
Ahmad Firmn Fadilah;Tau Jarwo gk yg kemaren nyuri Ayam tempat nya pak Anas;4;2021-07-15 09:01:34;POSITIF
iammusya bbm;Tidak bisa rubah background untuk samsung A31..;1;2021-07-15 09:00:37;NEGATIF
nani da fucc;MALES SKOLA ONLEN ANJENG;1;2021-07-15 09:00:37;NEGATIF
Sulaeman Aa;mantapp;5;2021-07-15 08:33:07;POSITIF
Bukan Achmad Zahran;app tolol;1;2021-07-15 08:20:18;NEGATIF
Angga Saputra;Good....;1;2021-07-15 08:14:50;NEGATIF
Tri Harso Wibowo;God job;5;2021-07-15 08:14:37;POSITIF
Dekasa 2311;Mengapa tampilan layarnya tidak full screen?;4;2021-07-15 08:13:57;POSITIF
Nhur Nhurr;Gk bisa masuk !!!!!!!!!!!!!;1;2021-07-15 07:58:10;NEGATIF
Endang Oktania;Lumayan bagus apkny..tetapi maaf knp pas mau donlod lagi nggk bisa masuk akun yang awal;2;2021-07-15 07:49:50;NEGATIF
Rangga Wisnu Saputra;Bagus apk ini sangat membantu;5;2021-07-15 07:27:01;POSITIF
Yo Ndak Tau Kok Tanya Saya;BAPAKLU JAGOAN MANA NGENTOD;1;2021-07-15 07:26:48;NEGATIF
hacker ID;Komentar nya pada orng indo??;5;2021-07-15 07:25:24;POSITIF
andi mahdur afdal;ok;5;2021-07-15 07:18:52;POSITIF
Claudya Ryella 7C;demi sekolah????;5;2021-07-15 07:18:01;POSITIF
Mama Samuel;Enggak puas;1;2021-07-15 07:12:51;NEGATIF
Antony Silaen;Keren;5;2021-07-15 07:07:19;POSITIF
Setiono Winardi;ok;5;2021-07-15 06:44:05;POSITIF
Saputra Insani;Ada yg open bo;1;2021-07-15 06:39:03;NEGATIF
TViktoria Rumlan;Menyenangkan;5;2021-07-15 06:32:40;POSITIF
arfa tiara;Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??dowlot sekarang woooooooooooooo ayo dowlot woiiiiiiiii sedikit jelek tapi kalian harus dowlot;4;2021-07-15 06:24:05;POSITIF
Aldi Laia;Bagus sekali;4;2021-07-15 06:21:19;POSITIF
Sevy Salsa nabila;Tolong dong ini saya pas mau nge zoom kenapa keluar² terus ya ?? Saya jadi gak bisa ikut kelas online;1;2021-07-15 06:19:34;NEGATIF
Dwi riski Firmansyah;YAMATE KUDASAI POKOKNYA;5;2021-07-15 06:17:56;POSITIF
Muhammad Farrel rizki;Kenapa aplikasi ini di hp gw gak bisa didowload;1;2021-07-15 06:16:42;NEGATIF
Galang Putra Ramadhan;Eror Kode 5?;1;2021-07-15 06:15:55;NEGATIF
VENESHIA AURALIA;Lama banget downloadnya!;4;2021-07-15 06:14:33;POSITIF
Azka Vindaru;Sangat membantu dan bermanfaat;5;2021-07-15 06:04:40;POSITIF
Kang Defa El shirazy;Baguslah...;5;2021-07-15 06:04:08;POSITIF
M Isa;Arsip;5;2021-07-15 05:54:27;POSITIF
Suci Sari;Kenapa ga bisa di update;5;2021-07-15 05:45:15;POSITIF
Vhia Ramadani;Baik??;5;2021-07-15 05:39:41;POSITIF
ridho ridho;Burik;1;2021-07-15 05:37:17;NEGATIF
Ketut Gunawan;INI BAGUS BANGET;5;2021-07-15 05:34:05;POSITIF
ayla gordon;Ini bagus banget;5;2021-07-15 05:33:25;POSITIF
Leo simamora;Good;5;2021-07-15 05:30:44;POSITIF
Hazel GMG;Im reasy for daring season 2 :v;5;2021-07-15 05:29:21;POSITIF
Sawal Alpin;sya tidak bisa masuk di zoom;2;2021-07-15 05:20:23;NEGATIF
Yadi;Pls add virtual background set, all student in indonesia need that, and why did ZOOM app have limit for a type processor and core??? pls if you can create, add the virtual background for all android;1;2021-07-15 05:00:08;NEGATIF
NixZ;Menggokil;1;2021-07-15 04:59:44;NEGATIF
Adjie Sudrajat.;Nice;5;2021-07-15 04:47:06;POSITIF
FM;WFH GAAIIISSS??;5;2021-07-15 04:46:29;POSITIF
Abu Sayyid;Ganggu;1;2021-07-15 04:40:50;NEGATIF
Agus Maghfur;Siip banget membantu;3;2021-07-15 04:16:32;NEGATIF
Oki Abdur;Gak keren gak bisa kasi begroun, Masak cmn hp tertentu aja.;1;2021-07-15 04:13:15;NEGATIF
Gabriel Alfredo;Oh;5;2021-07-15 04:10:36;POSITIF
Waruwu Erna;Mantap;5;2021-07-15 04:06:47;POSITIF
Imam Rosidi;Cukup baik s x....;3;2021-07-15 04:06:25;NEGATIF
tri damai;Ok;5;2021-07-15 04:06:00;POSITIF
Haliman Sugianto;Ok puas;5;2021-07-15 04:00:39;POSITIF
Egi Hermawan;Keren makasih;5;2021-07-15 03:57:37;POSITIF
Rifia RN;"Bagus, tapi sangat tidak hemat kouta:""(";3;2021-07-15 03:53:26;NEGATIF
rindiani anii;sangat membantu;5;2021-07-15 03:50:44;POSITIF
Rava Amriano;Apk jelek;1;2021-07-15 03:49:06;NEGATIF
Nur Faizal RN;Cukup baik;5;2021-07-15 03:44:07;POSITIF
•Chiara Adventurers•;Aplikasi ini sangat bagus;5;2021-07-15 03:36:18;POSITIF
Mochammad Hisyam Kurniawan;Aplikasi nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2021-07-15 03:34:30;POSITIF
SaGEM;Entar kalo aku udah lulus smp aku ke sini lagi terus kasih bintang 5 oke ??;1;2021-07-15 03:31:55;NEGATIF
Nurul Huda;JJelek;1;2021-07-15 03:31:46;NEGATIF
M. Faruq Alrian;Bagussssss.;5;2021-07-15 03:31:18;POSITIF
Salomo Rajagukguk;Sangat buruk;1;2021-07-15 03:25:37;NEGATIF
Rangga Raziss;Gara² Corona Kita Jadi Daring Terus;5;2021-07-15 03:25:27;POSITIF
Kim ninis07;Bagusss;5;2021-07-15 03:15:43;POSITIF
Noto wijaya;Aku zoom dengan senang dengan guru ku??????;5;2021-07-15 03:14:54;POSITIF
Helya Fiantika;Aplikasi ini kurang bagus;1;2021-07-15 03:14:43;NEGATIF
AndiApry 28;Mantaap;5;2021-07-15 03:13:29;POSITIF
BON CABE GAMING;Burik burik ga ada suara nya burik!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain liat kebawah emang burik kok;1;2021-07-15 03:13:20;NEGATIF
Wahyudin Hidayat;??;5;2021-07-15 03:12:44;POSITIF
Kay K;Ya begitulah;5;2021-07-15 03:09:21;POSITIF
Jejen No;Ngga bisa ganti virtual background lewat android, semoga kedepannya semua hape bisa menggunakan fiture virtual background baik versi cpu android apapunnn. Tks;1;2021-07-15 03:05:25;NEGATIF
Amy Nasir;Keren bisa zoom barang ama guru jahanam;5;2021-07-15 03:02:54;POSITIF
Adrian Alfaris;Kutit;3;2021-07-15 03:01:35;NEGATIF
Citra Soradi;Bgus;5;2021-07-15 02:59:20;POSITIF
Dika Nugroho;Ok pollllllll;5;2021-07-15 02:59:15;POSITIF
Annisa Nuraeni;tolong diperbaiki msa sya gbisa msuk trs pw nya salah mulu kesel kan g bisa ikutan bljr haha??.;1;2021-07-15 02:57:58;NEGATIF
Mahsya Sulistya;Bagus nih buat sekolah online????;5;2021-07-15 02:55:40;POSITIF
MUHAMMAD ADRIANSAH;Kualitas camera dan suara nya masih burik,tolong ditingkatkan lebih bagus lagi ya!;5;2021-07-15 02:55:32;POSITIF
hariyanto ashari;Suara dan gambar sangat jelas;5;2021-07-15 02:54:13;POSITIF
25. Bayu Aji Putra Pamungkas;Anjir kepijet download!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2021-07-15 02:53:09;POSITIF
ANHPROGAMING;Nanti nangis;5;2021-07-15 02:51:46;POSITIF
Amanda;Apk nya bagus untuk sekolah;5;2021-07-15 02:51:38;POSITIF
mega marliyana;Gabisa didownlod kenapa ya;5;2021-07-15 02:51:31;POSITIF
Khun Sona;Apk bguss;5;2021-07-15 02:45:32;POSITIF
Zaidan Abidani;Corona e gak ilang lilang lurr Monggo kito sedoyo dungo dumateng ngersane gusti Allah, prei maksiat sek lurr,seng akeh ibadahe ,dunyo iki wes mulai rusak kabeh,ojok kakean pola, Wassalamualaikum:);5;2021-07-15 02:45:15;POSITIF
sabar Tamba;Wowwwwww;5;2021-07-15 02:44:35;POSITIF
Fachry Ramadhan Siregar;Aplikasi biadab hapus aja!!!;1;2021-07-15 02:44:14;NEGATIF
Galang Rizky;Pjeieiwiwwkjsjdianchii ksosoakakakka akskjxbxua itu adalah player 10 digit angka yang punya kapal selam yang punya kapal selam yang punya kapal selam yang punya kapal selam yang punya kapal selam yang ada pada diri gua ini adalah fans Inggris wkwk canda dan aku Gatau siapa saja dan kapan saja Bu Ani Yudhoyono di wilayah ini juga dapat anakan yang sudah mengembalikan semua buku ini juga akan aja gan itu e wa e di dalamnya ada knpa we only give away with what we want to work without wings wa e di;5;2021-07-15 02:44:02;POSITIF
Ryan Ferdinand;Tidak ada opsi virtual background;1;2021-07-15 02:40:38;NEGATIF
Dini Darso;Ajg lh pkk ny;1;2021-07-15 02:40:23;NEGATIF
Asep Anggara;Bagus sekali;5;2021-07-15 02:38:07;POSITIF
Marleni Aswita;Bagus banget aku belajarnya jadi semangat;5;2021-07-15 02:35:09;POSITIF
Muh Lukman;Sangat bagus;5;2021-07-15 02:34:37;POSITIF
Ambu ellie;Sekolah gua jadi gampang;5;2021-07-15 02:31:18;POSITIF
Noel Goklas Napitupulu;Gak jelas;1;2021-07-15 02:29:40;NEGATIF
Zahrah Hijrah;Cara menggunakan zoom;3;2021-07-15 02:27:28;NEGATIF
Arjudevo Cook;Waktu pelajaran keluar sendiri entah kenapa;1;2021-07-15 02:27:16;NEGATIF
Galuh Nada;Top!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;4;2021-07-15 02:26:38;POSITIF
Muh Arief XITPM;Makasih;5;2021-07-15 02:24:21;POSITIF
MARIA RISGIANTI;Yesss ini bgs banget aim for yu trima ksih;5;2021-07-15 02:24:09;POSITIF
Karya Grace;Bagus banget saya suka;5;2021-07-15 02:23:52;POSITIF
Nur Hasanah;Apl ini bagus!!!;4;2021-07-15 02:22:40;POSITIF
AIRAH AULIA;Aplikasi ini untuk melakukan saya belajar online saat saya kelas online;5;2021-07-15 02:17:30;POSITIF
mithapuspa_;Tidak bisa zoom bang;5;2021-07-15 02:15:59;POSITIF
Surianti 1202;Apk ny bgs bgt;5;2021-07-15 02:15:14;POSITIF
Rachel Clairine Ruslie;??????????????????;5;2021-07-15 02:14:25;POSITIF
Achay cogan;males sekola bg;1;2021-07-15 02:13:58;NEGATIF
Muti Ara;Oke aplikasi nyvbagus;5;2021-07-15 02:13:48;POSITIF
CICI QIANA SYAUQINA;I like;5;2021-07-15 02:12:44;POSITIF
Oka Mahendra;Kenapa kadang suka mati sendiri yah...;5;2021-07-15 02:12:33;POSITIF
Dahur Hery;Keren;5;2021-07-15 02:10:15;POSITIF
Rizki Pratama;bagusla;5;2021-07-15 02:09:02;POSITIF
Johanes Wirawan;Gak bisa pake Virtual bagrounddddddd;5;2021-07-15 02:09:00;POSITIF
Julkarnain Ashari;Lumayan;4;2021-07-15 02:07:19;POSITIF
Asung Surnakim;Bagus;5;2021-07-15 02:06:36;POSITIF
Kartika Kartika;Maaf gk bisa;1;2021-07-15 02:06:17;NEGATIF
Revan Fatir rahmad;Bagus lah;5;2021-07-15 02:03:50;POSITIF
Danuarta Lingga123;Bagus;5;2021-07-15 01:59:38;POSITIF
heppy syawaliana kusuma;????;4;2021-07-15 01:56:15;POSITIF
Ren Aldi;Gua Download Ini Gegara Pelajaran Daring;5;2021-07-15 01:54:34;POSITIF
Daffa Juan hafidz;Bagus tapi gk deng heeeee udah bagua;5;2021-07-15 01:53:28;POSITIF
Frety Anggraini;Pengen bisa donwload nya??;1;2021-07-15 01:51:21;NEGATIF
Ali Putrapku;"Ini sangat tidak bagusss bagi yang memiliki kantong tipis terutama w saat masuk akun selalu error kadang saya saat meeting keluar sendiri dan masuk kembali 3 kali saat itu muncul kata ""An Unknown error code 5"" DASAR ZOOM";1;2021-07-15 01:48:30;NEGATIF
Kurnia Yogi Irawan ST;Okey, tapi tidak ada pilihan background Di HP android ?;5;2021-07-15 01:48:16;POSITIF
Wahyu Risky;Kenapa saya selalu tidak bisa manco banya ya;5;2021-07-15 01:45:41;POSITIF
Reginald Ramachandra;Apk nya sdh bagus ,tinggal pemblokiran apk nya yg belum.;2;2021-07-15 01:42:24;NEGATIF
ahmad Suroso;Aku bisa bertemu keluarga ku;5;2021-07-15 01:41:16;POSITIF
isni wati;sangat membantu saya dalam setiap kegiatan pada masa pandemi ini,,maju dan jaya selalu;5;2021-07-15 01:41:09;POSITIF
Henry yunus;Tolong sediakan pintu;1;2021-07-15 01:40:45;NEGATIF
HIPPU WAWAN Simanjuntak;Gaje;5;2021-07-15 01:40:39;POSITIF
Muhamad amrullah amrullah;baik;5;2021-07-15 01:37:39;POSITIF
JIA Nh14;Tidak bisa daftar walaupun pake email baru atau lama;1;2021-07-15 01:36:04;NEGATIF
Rozix Dillah;GG;3;2021-07-15 01:35:18;NEGATIF
Varana alathas zurlya;Bagus;4;2021-07-15 01:34:40;POSITIF
360??????;Burik jelek Karena aplikasi ini saya disuruh belajar online Dengan tatap muka Seharus nya zoom,google meet gak ada di playstore karena itu merugikan sekali;1;2021-07-15 01:32:54;NEGATIF
Aizkaa Ramadhani;Aplikasi taek;1;2021-07-15 01:31:50;NEGATIF
Annisya Amelia;Baguss banget apl nya gk nyesel deh download nya mantap ???????????? lebiih nih mantapnya lebih dr 5;5;2021-07-15 01:29:32;POSITIF
xLGT_Toxic BMGO;Saya tidak bisa amasuk zoom saya;1;2021-07-15 01:28:17;NEGATIF
Cilacap Selatan_SIAGA_Ida Nursanti;Very good;4;2021-07-15 01:26:30;POSITIF
widyastuti Supena;Ok;5;2021-07-15 01:25:00;POSITIF
marchello marchello;bagus banget;5;2021-07-15 01:24:57;POSITIF
Maulana Maulana;Sangat membantu;5;2021-07-15 01:24:22;POSITIF
hesekiel Siregarre;zoom is a very good application used in many fields, such as business people and meetings in this pandemic situation, even though kindergarten can meet in person, zoom is the solution;5;2021-07-15 01:22:04;POSITIF
Nur Rafiiah Kadir;Good????;2;2021-07-15 01:20:51;NEGATIF
Km Artini;Saya suka qja;5;2021-07-15 01:20:02;POSITIF
Nilam Sari;Aplikasi yang bagus;5;2021-07-15 01:19:35;POSITIF
FF : kanageming Ditz;Ketimbang zoom kek gni mending masuk sekolah langsung??;3;2021-07-15 01:19:07;NEGATIF
Muhammad Fadhli;Bagus;5;2021-07-15 01:18:47;POSITIF
Andi Riny Indrayanti;Tak bisa di install. Quote internet masih banyak. Tapi muter muter.;1;2021-07-15 01:14:26;NEGATIF
Sofi Solihah;Mana orang dihp ga bisa nampilin virtual background, gimnasih;4;2021-07-15 01:14:22;POSITIF
Lovers kpop;Selalu connect anj!! Orang jadi gabisa sekolah padahal jaringan gw bagus bagus aja;1;2021-07-15 01:10:46;NEGATIF
Rini Nanang;Bagussssssss;5;2021-07-15 01:10:24;POSITIF
Muhammad althaf;Sangat membantu;5;2021-07-15 01:09:05;POSITIF
Abidah UwU;Iya;1;2021-07-15 01:07:19;NEGATIF
Andika Istanto;Aplikasi ini lumayan bagus;3;2021-07-15 01:05:11;NEGATIF
RdnMK Official;Tks;5;2021-07-15 01:01:40;POSITIF
Aseng Keybun;Bagus;5;2021-07-15 01:00:29;POSITIF
Quros Gaming;GAK SERU GAK ADA GACHA NYA:(;1;2021-07-15 00:59:25;NEGATIF
keishia luis;Gak berguna.. Gk bisa di pakai.. Aplikasi apaan ini;1;2021-07-15 00:58:38;NEGATIF
Nurul Ramadhani;Saya suka zoooom;4;2021-07-15 00:58:23;POSITIF
Abdur Rohman;Kok gak bisa di instal apk nya;1;2021-07-15 00:55:51;NEGATIF
Triyono Tri;??????;4;2021-07-15 00:53:53;POSITIF
Kara Kireina;Apaan apk gk BERGUNA DASAR!!!!;1;2021-07-15 00:52:36;NEGATIF
Gede Suka;Mantap...;5;2021-07-15 00:50:53;POSITIF
Wawa Chanel;Kenapa saya sudah download berkali-kali tapi gagal terus padahal semua apl di hp saya sudah di hspus.;1;2021-07-15 00:50:30;NEGATIF
Pratama GMG;kok zoom nya ga bisa di download ya?;1;2021-07-15 00:49:46;NEGATIF
Nara Inara;Bagus sih...cuma sayangnya gk bs pake background;3;2021-07-15 00:48:46;NEGATIF
M. Panji maghribi Karsa wijaya;Mantab;5;2021-07-15 00:47:52;POSITIF
Lia Aaa;Mantap;5;2021-07-15 00:47:27;POSITIF
I wayan Suardana;Aplikasi ini membantu daya belajar daring;5;2021-07-15 00:47:15;POSITIF
Finy Azrilla;Kapan zoom ada filter? Plis muka w buriq;4;2021-07-15 00:45:54;POSITIF
nur afianty;Apk aneh udah download 97% malah ke 37% lagi hadeh;1;2021-07-15 00:43:52;NEGATIF
Muhammad Naufal Al azhar;Aplikasi yang sangat a annoying banget;5;2021-07-15 00:43:49;POSITIF
Sila Wahyu Prasiwi;Teerbaik;5;2021-07-15 00:42:53;POSITIF
JOX channel;Kalau tidak ada aplikasi ini abis lah sekolah aku wkwk;2;2021-07-15 00:40:08;NEGATIF
slamet;Suara zoom kalau menggunakan hp seringkali pelan, fiturnya juga jauh lebih sedikit dibanding zoom di desktop;1;2021-07-15 00:39:49;NEGATIF
erlina ningsih;Baik;1;2021-07-15 00:36:16;NEGATIF
doni raka;Bagus;5;2021-07-15 00:36:11;POSITIF
Dea puji N;Aplikasi yang sangat bagus;5;2021-07-15 00:34:58;POSITIF
Muhammadnurrizalramadhani Rizal;Aplikasi ga gan na banget anj*Ng.. keluar masuk keluar masuk, failed.. jembod..;1;2021-07-15 00:33:10;NEGATIF
Reza Randytya Faturrahman;Untuk pihak zoomnya tolpng di perbaiki saya lagi zoom gk saya sentuh tiba tiba keliar sendiri padahal sinyalnya bagus biat YouTube bagus lah kalo buat zoom malah kliar sendiri kan aneh;1;2021-07-15 00:21:22;NEGATIF
Syalshabilla Mozza olivia;Kok.gk gisa masuk aplikasinya sih padahal mau dipake zoom sekolah;3;2021-07-15 00:19:58;NEGATIF
Muhamad Abdul Wahab;apk tai !!!;1;2021-07-15 00:13:37;NEGATIF
Puspa Asriani;Keren;4;2021-07-15 00:12:20;POSITIF
jas mono;ra telek ngattel;1;2021-07-15 00:07:25;NEGATIF
Moh. Oky Novrizal;Ok;5;2021-07-15 00:06:29;POSITIF
Kesyah Azis22;apk nya mntap;5;2021-07-15 00:03:50;POSITIF
M Fajar Rahmanto;Tolong tambahin kuota anggotanya dong biar kalo webinnar nggak rebutan;3;2021-07-15 00:03:21;NEGATIF
Silva Fataul;Aku gunain Zoom ini buat belajar online gerti;5;2021-07-15 00:02:44;POSITIF
????????;Cie siswa baru;5;2021-07-14 23:58:39;POSITIF
Nga Wur;kenapa saya kok gak bisa video cal sama malaikat;5;2021-07-14 23:51:46;POSITIF
gadis Febriana;Waw;4;2021-07-14 23:44:50;POSITIF
Muhammad Aditya Alfarel;Ah Diskriminasi Nih Apk Zoom Masa Cuman Hp Snapdragon 500+ Bisa Ada Fitur Virtual Background,Lah Hp Gw Vivo Y20S SD Nya 460 Ram 8/128 Gk Ada Fitur Virtual Background,Tolong Lah Update Selanjut Ny Di Hilangkan Pembatasan Untuk Fitur Virtual Background.;1;2021-07-14 23:43:36;NEGATIF
T Mm;Biji ku ganteng;5;2021-07-14 23:37:45;POSITIF
SKY Geming;babi gabisa login;1;2021-07-14 23:37:35;NEGATIF
Mardiati Yati;Mantap;1;2021-07-14 23:35:08;NEGATIF
Hafiz Hafiz;Kenapa sih aku download ini gak bisa;1;2021-07-14 23:34:59;NEGATIF
FAJAR FARDHIANSYAH;Mohon penjelasan versi hp saya 10 tapi kenapa zoom background virtualnya tidak mau keluar;3;2021-07-14 23:27:39;NEGATIF
Nafisa Salsabila;Bagus;5;2021-07-14 23:27:08;POSITIF
Sinar Yenu;Stuck di verivikasi padahal saya sudah mau sekolah;1;2021-07-14 23:23:29;NEGATIF
Sancho Soares da Silva;App sudah baik, tapi kalo di rekam kapasitasnya terlalu besar;4;2021-07-14 23:23:22;POSITIF
Siti azzahra alawiyah putri;Bguss ko;5;2021-07-14 23:22:13;POSITIF
Rafik Peratama;kemren;5;2021-07-14 23:18:56;POSITIF
X MIPA2_28_RISWANDA IRSADINA NAJIHA;Great;5;2021-07-14 23:18:34;POSITIF
Mentina Gea;Tidak bagus Tapi boong pal pale pale pale paleeeeee;1;2021-07-14 23:17:56;NEGATIF
Lsc Latif;Bahasanya ga bisa bahasa indonesia;2;2021-07-14 23:17:26;NEGATIF
Stefanie Gadis;Kenapa menginstall nya lama sih, ini kenapa ya;1;2021-07-14 23:08:36;NEGATIF
Yulyul Ana;Mantav;5;2021-07-14 23:02:28;POSITIF
Pahlevi Prabaswara;"jelek bgt microphone nya tiba"" hidup sendiri pdhl di mute???? pas hidup keadaan aku lg berantem kan jd malu";1;2021-07-14 22:50:06;NEGATIF
Fahri Utomo;Mantab;5;2021-07-14 22:38:36;POSITIF
Nur Laila;Bagus?;5;2021-07-14 22:38:23;POSITIF
kasmir Demak;Siip;5;2021-07-14 22:33:51;POSITIF
Rifa Aditya Febriansyah;??;5;2021-07-14 22:30:54;POSITIF
Don't Panic;Guud;5;2021-07-14 22:23:18;POSITIF
Kykuk;Gara gara ada nih Apk Guaa disuruhh download cmn Buat Nugas,syng bngtt pdhl Ruang penyimpanan gua kecil,parah Lu menn;1;2021-07-14 21:29:04;NEGATIF
Muhammad fahri Ari;Bagus untuk zum degan teman2;5;2021-07-14 21:26:49;POSITIF
Noneng Rani;Keren;5;2021-07-14 21:25:15;POSITIF
Aditya Setiawan;Nice;5;2021-07-14 20:10:29;POSITIF
Eka Satria;Ok;4;2021-07-14 19:50:38;POSITIF
Muhamad Kautsar;Jelek daftar di perhambat (susah login);5;2021-07-14 17:46:29;POSITIF
Bayu Nugraha Dulu;Okee Keren Gaskeun Guud;5;2021-07-14 17:41:34;POSITIF
TAMARA MELISA PUTRI GULTOM;Wah daebak!! Sampe ga denger suara nya pas sharescreen :);2;2021-07-14 16:54:23;NEGATIF
WIRDA SUREY;Aplikasinya bagus banget;5;2021-07-14 16:51:10;POSITIF
RezaAte GT;Korona babi kepekso download cokkkkkk;1;2021-07-14 16:45:44;NEGATIF
MUHAMMAD NAUVAL RAFQIANSYAH;Kudu isoooo;5;2021-07-14 16:30:48;POSITIF
nankiniexy;waktu mau gabung zoom ada tulisan preparing meeting, lama connecting nya padahal sinyal udah bagus banget. buat yg tau cara ngatasinnya, tolong jawab ya..;3;2021-07-14 16:16:14;NEGATIF
Muhammad Zuhal;Ok;4;2021-07-14 16:11:53;POSITIF
Muhammad firza Tullah;Kenapa pakai e-mail tidak bisa padahal saya sudah memasukkan sandi dengan benar dengan nama emailnya kenapa tidak bisa ini aplikasi belajar saya jelek sekali;1;2021-07-14 16:01:14;NEGATIF
NUR NGAZIZ;bagus.... tapi begrond gak bisa;5;2021-07-14 15:59:08;POSITIF
Deli Rina67;Gk bisa komennn??;5;2021-07-14 15:56:16;POSITIF
y Thinheld;bagus, tp ketika join link yg sudah dibuat ,untuk claim jadi host di hp, masih belum nyambung. lalu, suaranya di hp sering pelan, dan tiba2 kenceng, terus pelan lagi;4;2021-07-14 15:40:19;POSITIF
Achmad Fauzy;Goodddddd;5;2021-07-14 15:38:06;POSITIF
Irma Irma;d coba dlu;2;2021-07-14 15:30:56;NEGATIF
Alifa Cahya Aditya;Banyak bug.;1;2021-07-14 15:22:14;NEGATIF
Rizky Pratama Putra;I can't Sign Up please help, What should i do;1;2021-07-14 15:15:42;NEGATIF
