,content,score,English
473,Im,5,Im
474,KENAPA VIRTUAL BACKGROUND BELUM SUPPORT KE REALME!!!,1,WHY IS VIRTUAL BACKGROUND NOT SUPPORTED TO REALME!!!
475,Sangat membantu,5,Very helpful
476,Maaf admin kenapa gak bisa buat akun zoom di Aplikasi ini?????,1,"Sorry admin, why can't I create a zoom account in this application?????"
477,Bagus,5,Good
478,"sebenarnya aplikasi ini sudah bagus, tetapi banyak yang kurang mengerti dengan cara login akunya karena bersifat bahasa Inggris,jadi saran syaa mohon di sediakan bahasa Indonesia.",5,"actually this application is good, but many do not understand how to log in their account because it is in English, so my suggestion is to provide Indonesian."
479,Wow... OMG,1,Wow... OMG
480,Buruan donlod,4,Hurry up download
481,Aplikasi ini sangat tidak berguna . Saya mau login akun terus saja tidak bisa,1,This application is very useless. I want to log in to my account but I can't
482,Apk dajjal,1,Dajjal apk
483,Mantap sekali bisa 25 orang dong,5,It's great that you can get 25 people
484,Gak bisa zoom,1,Can't zoom
485,Mantap jiwa buat aplikasi ini pokonya membantu banget mantullllll?!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!! Apa liat kebawah kan udah gue bilang mantul,5,"Great soul for this application, it really helps!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!! Did I look down, did I say help?"
486,"Jaringan bagus, tapi nggak bisa masuk? GG",1,"Good network, but can't log in? GG"
487,Top,5,Top
488,"Aku bisa berkomunikasi sama pak guru ku eee.......................................................................................................................,...............................................",1,"I can communicate with my teacher eee.......................................... ................................................................. ..............................,................................ ........................."
489,Mantap...,5,Great...
490,Apalikasi ini sangat bagus.............,5,This app is very good.............
491,Apk ini cepet banget dah nguras kuota dengan Batrei dan juga kenapa ini tu kembali sendiri & tidak bisa kembali padahalkan kelas online mau masukin code & pasword ya gak bisa padahal kan udah diberi sama guru????,2,"This apk drains the quota very fast with the battery and also why does it come back on its own & can't come back even though the online class wants to enter the code & password, can't it even though it's been given by the teacher????"
492,Yah,5,Yes
493,Saya kasih bintang 3 dulu,3,I give 3 stars first
494,Apk nya bagus:),5,Its a good app :)
495,Dahlah:),1,bye :)
496,Yaaa,5,Yaaa
497,Aplikasinya sangat membantu... Cmn kalo bisa kedepannya setiap bahasa Inggris????langsung ada terjemahannya/bahasa Indonesianya agar orang tua yang gagal paham dengan perintah/pilihan pada aplikasi zoom bisa mengoperasikan dengan mudah,5,The application is very helpful... What if it is possible in the future every English? There will be an immediate translation/Indonesian so that parents who fail to understand the commands/options in the Zoom application can operate it easily
498,Sering putus nyambung,3,Often disconnected
499,Mantap,5,Great
500,B aja,2,just B
501,Ok,5,Ok
502,Waktu itu masih gampang kalo join nya kalo sekarang malah harus memakai akun terus malah gabisa lagi!!!!!!!!!,5,"At that time it was still easy to join, now you have to use an account and it doesn't work anymore!!!!!!!!"
503,Siipppp,5,Siipppp
504,Aplikasi nya bagus,5,The app is good
505,Hobi bener kasi tugas,1,Hobby is really a job
506,Good,5,good
507,Susah di down. Lagi,5,Hard to get down. Again
508,Nggak ada bahasa Indonesia nya kah ?(`?´?)/,2,Is there no Indonesian language?(`?´?)/
509,Ini sangat membantu bagi saya terima kasih?? semangat ????,5,This is very helpful for me thank you?? spirit ????
510,Sangat bagus,5,Very good
511,????????????????,2,????????????????
512,Ok,5,Ok
513,Wee anj ko gabisa login ee lah pantek,2,"Wee, how come I can't log in, you're a bitch"
514,Bagus tapi lama bet donlowd nya,4,It's good but it takes a long time to download it
515,"Tidak bisa daftar akun, cuma bisa join meting",3,"Can't register an account, can only join meetings"
516,Bagus kok,5,How good
517,Kenapa gabisa buat akun?padahal dulu ga kek gini ????,1,Why can't I create an account? even though it wasn't like this before????
518,Klo zoom menggunakan hp suaranya kecil fiturnya juga jauh lebih sedikit dibanding pakai laptop,1,"When zooming using a cellphone, the sound is small, the features are also much less than using a laptop"
519,Terima(´?? )?(´?? )?,4,Accept?? )?
520,Apl nya bagus,5,The app is good
521,TERIMA KASIH KEPADA PABRIK KARNA SUDAH MEMBUAT DAN MENGELOLA APK ZOOM. :(,5,THANK YOU TO THE FACTORY FOR CREATING AND MANAGING THE ZOOM APK. :(
522,Angga,2,Angga
523,Bagussssss,5,nicessss
524,Hhh,4,hhh
525,Bagus sekali,1,Very good
526,????????,5,????????
527,Bagus kwalitas terbaik,5,Good best quality
528,"Suka,bisa kerja tim nih",5,"I like it, I can work as a team"
529,Kenapa aplikasi tidak bisa didownload?,1,Why can't the application be downloaded?
530,Waw bagus,5,Wow nice
531,GG,5,GG
532,Udh d download knp ga bisa yaa,2,"It's been downloaded, why can't it?"
533,Kampank,5,Kampank
534,Yes perpect,5,Yes perfect
535,Pen login susah amat yak,1,Pen login is very difficult
536,"Wau aplikasinya bagus banget cocok buat aku yg lagi belajar lewat aplikasi ini!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!apa liat bawah kan udah aku bilang bagus,emang kurang jelas",5,"Wow the application is really good suitable for me who is learning through this application!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Did I see below I said it was good, it's not clear enough"
537,Mantab,5,great
538,Bagus membantu saya meeting,5,Good for helping me in a meeting
539,Wah bagus mantap ??????????,5,Wow that's great ????????
540,Memerlukan banyak kuota,3,Requires a lot of quota
541,????,5,????
542,Gak bisa di instal,5,Can't install
543,Semoga nggak nyesel dowlondnya????????,5,I hope you don't regret downloading it????????
544,ok,5,ok
545,Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!CAPEK TANGAN GW,5,Great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I'm tired of my hands
546,ga bisa didowloand !!,3,can't download!!
547,gak bisa di dowloand!!,1,can't download!!
548,Sangat bagus,5,Very good
549,Sangat mudah untuk digunakan sebagai bahan informasi .,5,Very easy to use as information material.
550,Gk tau,5,do not know
551,Good meet,5,good meet
552,Sipppppp,5,Sipppppp
553,bagus sih tapiiii.....,1,it's good but.....
554,Tau Jarwo gk yg kemaren nyuri Ayam tempat nya pak Anas,4,"Did you know that Jarwo stole the chicken the other day, Mr. Anas's place"
555,Tidak bisa rubah background untuk samsung A31..,1,Can't change background for Samsung A31..
556,MALES SKOLA ONLEN ANJENG,1,LAZY DOG ONLINE SCHOOL
557,mantapp,5,steady
558,app tolol,1,stupid app
559,Good....,1,good....
560,God job,5,God job
561,Mengapa tampilan layarnya tidak full screen?,4,Why is the display screen not full screen?
562,Gk bisa masuk !!!!!!!!!!!!!,1,Can't enter !!!!!!!!!!!!!
563,Lumayan bagus apkny..tetapi maaf knp pas mau donlod lagi nggk bisa masuk akun yang awal,2,The apk is pretty good but I'm sorry why when I want to download the song I can't enter the original account
564,Bagus apk ini sangat membantu,5,Good this apk is very helpful
565,BAPAKLU JAGOAN MANA NGENTOD,1,BAPAKLU WHERE ARE YOU GUYS
566,Komentar nya pada orng indo??,5,His comments on Indonesian people??
567,ok,5,ok
568,demi sekolah????,5,for school????
569,Enggak puas,1,Not satisfied
570,Keren,5,Cool
571,ok,5,ok
572,Ada yg open bo,1,Is there an open bo
573,Menyenangkan,5,Pleasant
574,Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??dowlot sekarang woooooooooooooo ayo dowlot woiiiiiiiii sedikit jelek tapi kalian harus dowlot,4,Great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??download now woooooooooooooo let's download woiiiiiiiii a bit ugly but you have to download
575,Bagus sekali,4,Very good
576,Tolong dong ini saya pas mau nge zoom kenapa keluar² terus ya ?? Saya jadi gak bisa ikut kelas online,1,"Please, this is when I want to zoom in, why does it keep coming out? I can't take online classes"
577,YAMATE KUDASAI POKOKNYA,5,YAMATE KUDASAI ESSENTIAL
578,Kenapa aplikasi ini di hp gw gak bisa didowload,1,Why can't I download this app on my cellphone?
579,Eror Kode 5?,1,Error Code 5?
580,Lama banget downloadnya!,4,It took so long to download!
581,Sangat membantu dan bermanfaat,5,Very helpful and useful
582,Baguslah...,5,Good...
583,Arsip,5,files
584,Kenapa ga bisa di update,5,Why can't it be updated
585,Baik??,5,Well??
586,Burik,1,Dotted
587,INI BAGUS BANGET,5,THIS IS SO GOOD
588,Ini bagus banget,5,This is really good
589,Good,5,good
590,Im reasy for daring season 2 :v,5,I'm ready for dating season 2 :v
591,sya tidak bisa masuk di zoom,2,I can't enter on zoom
592,"Pls add virtual background set, all student in indonesia need that, and why did ZOOM app have limit for a type processor and core??? pls if you can create, add the virtual background for all android",1,"Pls add virtual background set, all student in indonesia need that, and why did ZOOM app have limit for a type processor and core??? pls if you can create, add the virtual background for all android"
593,Menggokil,1,Goofy
594,Nice,5,nice
595,WFH GAAIIISSS??,5,WFH GAISSS??
596,Ganggu,1,Disturb
597,Siip banget membantu,3,Very helpful
598,"Gak keren gak bisa kasi begroun, Masak cmn hp tertentu aja.",1,"It's not cool, you can't give a ground, just cook certain cellphones."
599,Oh,5,Oh
600,Mantap,5,Great
601,Cukup baik s x....,3,Pretty good s x....
602,Ok,5,Ok
603,Ok puas,5,Ok satisfied
604,Keren makasih,5,Cool thanks
605,"Bagus, tapi sangat tidak hemat kouta:""(",3,"Good, but not very quota-saving :("
606,sangat membantu,5,very helpful
607,Apk jelek,1,Bad apk
608,Cukup baik,5,Pretty good
609,Aplikasi ini sangat bagus,5,This app is very good
610,Aplikasi nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,Its a great app!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
611,Entar kalo aku udah lulus smp aku ke sini lagi terus kasih bintang 5 oke ??,1,So when I graduate from high school I'll come back here again and give 5 stars okay??
612,JJelek,1,Ugly
613,Bagussssss.,5,Bagusssss.
614,Sangat buruk,1,Very bad
615,Gara² Corona Kita Jadi Daring Terus,5,"Because of Corona, we are online all the time"
616,Bagusss,5,nice
617,Aku zoom dengan senang dengan guru ku??????,5,I zoom happily with my teacher???????
618,Aplikasi ini kurang bagus,1,This application is not good
619,Mantaap,5,good
620,Burik burik ga ada suara nya burik!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain liat kebawah emang burik kok,1,Dotted and mottled no sound is mottled!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! why are you looking down at it's so ugly
621,??,5,??
622,Ya begitulah,5,"Yes, that is so"
623,"Ngga bisa ganti virtual background lewat android, semoga kedepannya semua hape bisa menggunakan fiture virtual background baik versi cpu android apapunnn. Tks",1,"I can't change the virtual background via Android, hopefully in the future all cellphones can use the virtual background feature, regardless of the Android cpu version. thx"
624,Keren bisa zoom barang ama guru jahanam,5,It's cool being able to zoom in on things or bad teachers
625,Kutit,3,skinny
626,Bgus,5,nice
627,Ok pollllllll,5,Ok pollllll
628,tolong diperbaiki msa sya gbisa msuk trs pw nya salah mulu kesel kan g bisa ikutan bljr haha??.,1,"please fix it, I can't log in and the pw is wrong, I'm annoyed, can't I join bljr haha??."
629,Bagus nih buat sekolah online????,5,Is it good for online school????
630,"Kualitas camera dan suara nya masih burik,tolong ditingkatkan lebih bagus lagi ya!",5,"The quality of the camera and sound is still bad, please improve it even better!"
631,Suara dan gambar sangat jelas,5,Very clear sound and picture
632,Anjir kepijet download!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,Anjijet's massage download!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
633,Nanti nangis,5,I'll cry later
634,Apk nya bagus untuk sekolah,5,The apk is good for school
635,Gabisa didownlod kenapa ya,5,Can't download why huh?
636,Apk bguss,5,Nice app
637,"Corona e gak ilang lilang lurr Monggo kito sedoyo dungo dumateng ngersane gusti Allah, prei maksiat sek lurr,seng akeh ibadahe ,dunyo iki wes mulai rusak kabeh,ojok kakean pola, Wassalamualaikum:)",5,"Corona e won't go away, please let us sedoyo dungo dumateng feel bad for Allah, prei is immoral sek lurr, zinc is akeh worship, dunyo iki wes is starting to break, ojok kakean pattern, Wassalamualaikum :)"
638,Wowwwwww,5,Wowwwwww
639,Aplikasi biadab hapus aja!!!,1,Just delete the barbaric app!!!
640,Pjeieiwiwwkjsjdianchii ksosoakakakka akskjxbxua itu adalah player 10 digit angka yang punya kapal selam yang punya kapal selam yang punya kapal selam yang punya kapal selam yang punya kapal selam yang ada pada diri gua ini adalah fans Inggris wkwk canda dan aku Gatau siapa saja dan kapan saja Bu Ani Yudhoyono di wilayah ini juga dapat anakan yang sudah mengembalikan semua buku ini juga akan aja gan itu e wa e di dalamnya ada knpa we only give away with what we want to work without wings wa e di,5,"Pjeieiwiwwkjsjdianchii ksosoakakakka akskjxbxua is a 10-digit number player who owns a submarine who owns a submarine who owns a submarine who owns a submarine that has a submarine in my cave this is a British fan, joking and I don't know anyone and anytime Mrs. Ani Yudhoyono in this region also gets a sapling who has returned all of these books too, bro, that's e wa e in it, why do we only give away with what we want to work without wings wa e in"
641,Tidak ada opsi virtual background,1,No virtual background option
642,Ajg lh pkk ny,1,"Come on, pkk ny"
643,Bagus sekali,5,Very good
644,Bagus banget aku belajarnya jadi semangat,5,It's really good I learned it so excited
645,Sangat bagus,5,Very good
646,Sekolah gua jadi gampang,5,My school is so easy
647,Gak jelas,1,Not clear
648,Cara menggunakan zoom,3,How to use zoom
649,Waktu pelajaran keluar sendiri entah kenapa,1,Lesson time goes out on its own for some reason
650,Top!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,4,Top!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!
651,Makasih,5,Thanks
652,Yesss ini bgs banget aim for yu trima ksih,5,Yesss this is really good aim for you thank you
653,Bagus banget saya suka,5,very good i like it
654,Apl ini bagus!!!,4,This app is great!!!
655,Aplikasi ini untuk melakukan saya belajar online saat saya kelas online,5,This app to do my online learning when I class online
656,Tidak bisa zoom bang,5,Can't zoom bro
657,Apk ny bgs bgt,5,The apk is great
658,??????????????????,5,????????????????????
659,males sekola bg,1,too lazy to go to school
660,Oke aplikasi nyvbagus,5,Ok the application is good
661,I like,5,I like
662,Kenapa kadang suka mati sendiri yah...,5,Why do you like to die alone sometimes?
663,Keren,5,Cool
664,bagusla,5,nice
665,Gak bisa pake Virtual bagrounddddddd,5,Can't use Virtual background dddddd
666,Lumayan,4,Reasonable
667,Bagus,5,Good
668,Maaf gk bisa,1,Sorry can't
669,Bagus lah,5,That's good
670,Bagus,5,Good
671,????,4,????
672,Gua Download Ini Gegara Pelajaran Daring,5,I Download This Because of Online Lessons
673,Bagus tapi gk deng heeeee udah bagua,5,Good but not with hehehe already good
674,Pengen bisa donwload nya??,1,Wanna be able to download it??
675,"Ini sangat tidak bagusss bagi yang memiliki kantong tipis terutama w saat masuk akun selalu error kadang saya saat meeting keluar sendiri dan masuk kembali 3 kali saat itu muncul kata ""An Unknown error code 5"" DASAR ZOOM",1,"This is not very good for those who have thin pockets, especially when I log in to my account, I always get an error, sometimes I go out alone during a meeting and log back in 3 times when the word ""An Unknown error code 5"" appears BASIC ZOOM"
676,"Okey, tapi tidak ada pilihan background Di HP android ?",5,"Okay, but there is no background option on an Android phone?"
677,Kenapa saya selalu tidak bisa manco banya ya,5,Why can't I always be manco banya?
678,"Apk nya sdh bagus ,tinggal pemblokiran apk nya yg belum.",2,"The apk is good, it's just the apk blocking that hasn't been done."
679,Aku bisa bertemu keluarga ku,5,I can meet my family
680,"sangat membantu saya dalam setiap kegiatan pada masa pandemi ini,,maju dan jaya selalu",5,"really helped me in every activity during this pandemic, go ahead and always be victorious"
681,Tolong sediakan pintu,1,Please provide the door
682,Gaje,5,Gaje
683,baik,5,good
684,Tidak bisa daftar walaupun pake email baru atau lama,1,Can't register even if you use a new or old email
685,GG,3,GG
686,Bagus,4,Good
687,"Burik jelek Karena aplikasi ini saya disuruh belajar online Dengan tatap muka Seharus nya zoom,google meet gak ada di playstore karena itu merugikan sekali",1,"It's ugly because of this application, I was told to study online Face-to-face. Zoom, google meet shouldn't be on the playstore because it's very detrimental"
688,Aplikasi taek,1,Taek app
689,Baguss banget apl nya gk nyesel deh download nya mantap ???????????? lebiih nih mantapnya lebih dr 5,5,"The app is really good, don't regret it, the download is great ???????????? better, it's more than 5"
690,Saya tidak bisa amasuk zoom saya,1,I can't enter my zoom
691,Very good,4,Very good
692,Ok,5,Ok
693,bagus banget,5,really good
694,Sangat membantu,5,Very helpful
695,"zoom is a very good application used in many fields, such as business people and meetings in this pandemic situation, even though kindergarten can meet in person, zoom is the solution",5,"zoom is a very good application used in many fields, such as business people and meetings in this pandemic situation, even though kindergarten can meet in person, zoom is the solution"
696,Good????,2,good????
697,Saya suka qja,5,I like qja
698,Aplikasi yang bagus,5,Nice app
699,Ketimbang zoom kek gni mending masuk sekolah langsung??,3,"Instead of zooming in, why don't you go straight to school??"
700,Bagus,5,Good
701,Tak bisa di install. Quote internet masih banyak. Tapi muter muter.,1,Cannot be installed. There are still many internet quotes. But play around.
702,"Mana orang dihp ga bisa nampilin virtual background, gimnasih",4,"The name of the person on the cellphone can't show the virtual background, what can I do?"
703,Selalu connect anj!! Orang jadi gabisa sekolah padahal jaringan gw bagus bagus aja,1,Always connect anj!! People can't go to school even though my network is good
704,Bagussssssss,5,Nicessssss
705,Sangat membantu,5,Very helpful
706,Iya,1,Yes
707,Aplikasi ini lumayan bagus,3,This app is pretty good
708,Tks,5,thx
709,Bagus,5,Good
710,GAK SERU GAK ADA GACHA NYA:(,1,"NOT FUN, THERE IS NO GACHA :("
711,Gak berguna.. Gk bisa di pakai.. Aplikasi apaan ini,1,It's useless.. I can't use it.. What app is this
712,Saya suka zoooom,4,I like zoom
713,Kok gak bisa di instal apk nya,1,Why can't I install the apk
714,??????,4,??????
715,Apaan apk gk BERGUNA DASAR!!!!,1,Fuck apk useless BASIC!!!!
716,Mantap...,5,Great...
717,Kenapa saya sudah download berkali-kali tapi gagal terus padahal semua apl di hp saya sudah di hspus.,1,Why have I downloaded it many times but it keeps failing even though all the apps on my cellphone have been deleted.
718,kok zoom nya ga bisa di download ya?,1,how come the zoom can't be downloaded?
719,Bagus sih...cuma sayangnya gk bs pake background,3,It's good... but sadly I can't use the background
720,Mantab,5,great
721,Mantap,5,Great
