,content,score,English
556,Jelek,1,Bad
557,Bagus,4,Good
558,Mantap hebat!! korong itu asin dan guriz!!,1,Great great!! the korong was salty and guriz!!
559,"Kog ga bisa buat bergabung ya, baru masuk langsung keluar, begitu truss",2,How come you can't join?
560,Terima kasih,5,Thank you
561,Saya ksh bintang 3 dlu y,4,I want 3 stars first y
562,Good,5,good
563,Terimakasih ya,5,Thank you
564,Saya tidak dapat bergabung di goeglw meet jika ada meeting..kenapa ya,1,I can't join google meet if there's a meeting..why?
565,Bagus tpi kadang suaranya macet,3,Good but sometimes the sound gets stuck
566,bagus????,5,good????
567,Terima kasih,5,Thank you
568,Say no to online school,1,Say no to online school
569,Cukup bagus,4,Quite good
570,Gabisa,1,Can not
571,Mantappp yks google good,5,Mantappp yks google good
572,"Semenjak di update kamera aku gelap (tidak berfungsi). Pdhl kamera saya bagus:( . Saat disuruh guru on cam saya tdk bisa, jadi saya tidak di anggap hadir. Plis nol nilai ku!",1,"Since the update my camera is dark (not working). Pdhl my camera is good :( . When the teacher told me to go on cam I couldn't, so I was not considered to be present. Please zero my score!"
573,Apk gk bisa di instal udah download berkali kali.Tolong di perbaiki.,1,"The apk cannot be installed, it has been downloaded many times. Please fix it."
574,Thank you so much ??,5,Thank you so much ??
575,okee,4,okay
576,Bagus aplikasinya,5,Good app
577,??,2,??
578,Sangat bagus,5,Very good
579,??,5,??
580,Mantul,5,Really good
581,"Good for meeting, but sometimes the sound is not smooth even though the signal is good. I rating ?6",5,"Good for meeting, but sometimes the sound is not smooth even though the signal is good. I rating ?6"
582,lebih ditingkatkan lagi,5,even more improved
583,Mantap leg gak belajar,5,Great leg not studying
584,Blum maksimal jaringan internetnys,4,The internet network is not maximized yet
585,Bagus sekali.kereeen.aku suka,5,Very good.kereeen.i like it
586,Google meet sekRang kok sering bermasalah ya kalau dibuat bergabung ke rapat? Tolong diperbaiki!,3,Why does Google meet often have problems when you join a meeting? Please fix!
587,Bagus banget apk nya,5,Very good apk
588,Aman,5,Safe
589,Bagus banget aplikasi nya,5,Very good application
590,Bagus,5,Good
591,Mantap,4,Great
592,"tolong segera diperbaiki, setelah diupdate malah sering keluar2 sendiri sangat mengganggu.",2,"please fix it immediately, after updating it often comes out on its own very annoying."
593,Bagus,5,Good
594,Keren,5,Cool
595,Ini aplikasi nya bagus cuma sayangnya suka ngeleg gitu suka keluar sendiri jadi ini saja yang saya katakan terima kasih,4,"This is a good application, but unfortunately, I like to hang out and like to go out on my own, so that's all I can say, thank you"
596,Pretty good for help learn online,4,Pretty good for help learn online
597,tidak bisa di download.,1,can't be downloaded.
598,Pengen aja kasi bintang satu,1,Just want to give one star
599,bagus,5,good
600,Mantapppppplpppp0ppp,5,Mantappppppp Ppppp0ppp
601,Opuo,5,Opuo
602,Amplikasi ini ku jadikan sebagay pelindung.,5,I made this application as a protector.
603,Kedepannya Lebih ramah kuota & jaringan,5,"In the future, more quota & network friendly"
604,Ok,4,Ok
605,Kurang banyak fitur nya misal nya rename,1,"It lacks many features, for example rename"
606,Bagus,5,Good
607,Funfsional,5,Functional
608,Bagus,5,Good
609,Mantap,5,Great
610,Sangat bagus,5,Very good
611,o www oooioii ini aOk oin membantu tapi tidak ok,5,o www oooioii this is ok oin helps but not ok
612,Bagus,4,Good
613,tambah Jelek.. tdk bisa di minimize... awalnya oke... tapi setelah diupdate tidak bisa di minimize...,1,added Ugly.. can't be minimized... initially okay... but after updating it can't be minimized...
614,Good,4,good
615,Mantap,5,Great
616,Apknya boros kuota??,1,The apk is wasteful of quota??
617,Gak jelas malah ditambahin tampilan,1,"It's not clear, even adding a view"
618,"untuk background diperluas lagi dong min, hanya bisa di beberapa hp saja nih.",3,"for the background to be expanded again, bro, it can only be done on a few cellphones."
619,Bagusssss,5,nicesss
620,Baguss,5,nice
621,"Ampun deh keluar2 terus, anakku susah belajarnya klo kaya gini, tolong dong diperbaiki",1,"I'm sorry, keep going out, my child is hard to learn if it's like this, please fix it"
622,"Untung ada google meet,soalnya zoom akunnya harus umurnya harus dewasa, Thanks Google meet ????",5,"Luckily there is a google meet, because the zoom account must be of an adult age, thanks Google meet ????"
623,Knp harus ada,1,Why should there be
624,sss,5,sss
625,"Tolong dikasih vitur BACKGROUND yaa kak dan vitur"" yang lain, biar peminatnya Bertambah. Terimakasih",5,"Please give a virtual BACKGROUND, sis and other features, so that the interest will increase. Thank you"
626,Assalamu'alaikum... Tolong sediakan Pengganti background nya... Assalamu'alaikum,4,Assalamu'alaikum... Please provide a replacement for the background... Assalamu'alaikum
627,oke bagus siyalya,5,ok good siyalya
628,Bagus,5,Good
629,????????,4,????????
630,"Perbaiki mic agar terdengar oleh orang lain, udah ku cek dari perizinan, dan kualitas headset masih bagus, terima kasih",3,"Fix the mic so that other people can hear it, I've checked the permissions, and the quality of the headset is still good, thank you"
631,"Habis update ko malah ga bisa diliat kalo orang lain/ dosen lagi bagikan layar??tolong inimah knpa padahal sinyal bagus, dan ga cuma aku. Temenku yg habis update gitu tampilannya berubah, dan ga bisa liat presentasi?? udah diperbarui semua tetep aja, ini tolong dibenerin yallah ?? enak tampilan dulu, bukan yg sekarang",1,"After the update, I can't even see if other people/lecturers are sharing the screen?? Please, why is this even though the signal is good, and it's not just me. After the update, my friend's appearance changed, and couldn't see the presentation?? It's all been updated, but it's still there, can you fix this please? it looks good before, not now"
632,Nanti aja,5,Later
633,Suka keluar sendiri tapi gpp sihh mksh yah,4,"I like to go out alone but it's okay, thank you"
634,Setiap masuk meet abis dari aplikasi lain pasti item semua gambarnya,1,"Every time you enter a meet after another application, you must have all the pictures"
635,Ok,5,Ok
636,"Aneh, micnya ga bisa kalau di pakai headset, padahal kalau ga pake headset bisa. kalo misal mic headset nya rusak , saya pake buat main game dll bisa. Tolong untuk developer diperbaiki ya",3,"It's weird, the mic doesn't work if you use a headset, even though if you don't use a headset it can. For example, if the headset mic is broken, I can use it to play games, etc. Please fix it for the developer"
637,Sudah update tapi fitur sama saja,1,It's been updated but the features are the same
638,Jujur pas di update pertama ny b aj tapi akhir² ini mmg sring ngelag kaya misalny keluar sendiri terus nnyain kualitas video nya apa lagi klo lagi jawab pertanyaan tiba² malah kluar sendiri kan kesan ny kek w tuh takut jwb gitu jadi kalo yg blom update mending gak usah di update suwer aneh capeek,2,"Honestly, in the first update, it's okay, but lately it's been lagging a lot, like for example, going out alone and watching the video quality, what else if you're answering a question all of a sudden it just comes out on its own, the impression is that you're afraid to answer that, so if you haven't updated, you don't have to updated suwer weird tired"
639,ora sekolah rapot ora smile,5,no school report card or smile
640,Mantap,5,Great
641,Oji sahabatnya iyas,1,Oji is his best friend
642,"Entah kenapa di hp saya tampilannya berubah, menjadi seperti ketika meet diakses lewat Gmail. Padahal saya lebih suka tampilan dhulu",5,"I don't know why on my cellphone the appearance has changed, to be like when the meet is accessed via Gmail. Even though I prefer the first look"
643,Aplikasi nya lebih bagus jika ditambahkan filter IG??????,4,The application is better if you add an IG filter???????
644,Semenjak update Layarnya jadi kecil dan susah diliat,1,"Since the update, the screen is small and hard to see"
645,........ .............. ...........,3,..........
646,Bagus bagus aja,4,good good
647,"Kameranya off secara otomatis. Blm ada 3 menit, udh 5x mati. Padahal udh di update. Payah dah",1,"The camera turns off automatically. Not yet 3 minutes, already 5 times dead. Even though it's been updated. It's bad"
648,Kata bugurh jangan di hapus,3,The word workers don't delete
649,Bagus banget,5,Really good
650,"Lumayan, tpi lebih bgus lgi klo bnyak muka yg keliatan",4,"Not bad, but it's even better if you see a lot of faces"
651,Mohon tambahin fitur kek green screen di belakang,1,Please add the green screen cake feature on the back
652,Kasi fitur ubah background dong :( diaku gada hiks,3,"Thanks for the change background feature, please :( I admit I don't have hiks"
653,iyas,1,yess
654,Jaringan nya lumayan bagus,4,The network is pretty good
655,Bagus,5,Good
656,Aplikasi sangat membantu ibu saya untuk vc gurunya karena ibu saya senang sekali belajar terima kasih gugel meeeeettt??,5,The application is very helpful for my mother for the vc teacher because my mother is very happy to learn thank you google meeeeettt??
657,"Kasih bintang 2 dlu,soalnya baru mau nyoba klau oke nnti kasih bintang 5??",2,"Give 2 stars first, because I'm just about to try it if it's okay, I'll give 5 stars??"
658,Mantul,5,Really good
659,Aplikasi ini membuat saya depresi karena guru selalu menggunakannya setiap hari saya jadi depresi,1,This application makes me depressed because the teacher always uses it every day I get depressed
660,Di update bukannya bagus malah nambah ancur. Keluar tiba tiba. Masuk room susah. Padahal sinyal bagus,1,"In the update, it's not good, it's even worse. Out suddenly. Entering the room is difficult. Even though the signal is good"
661,Gk bisa donload,3,Can't download
662,Tolong jangan sampai keluar dari aplikasi. Ini menggangu.,1,Please don't exit the app. This is annoying.
663,Bagus dan cukup bermanfaat.,5,Good and quite useful.
664,Bagus sih.,4,That's good.
665,Mantep,5,great
666,Bagus,5,Good
667,Error trus,3,Error then
668,Saya tak suka,1,I don't like
669,Maaf.. bagi saya yang masih awam sangatlah membingungkan??,3,Sorry .. for me who is still a layman is very confusing??
670,Baik,5,Well
671,Bagus bngt wajib download sii,5,"Very good, you have to download it"
672,SO GOOD SO LOVE U,5,SO GOOD SO LOVE U
673,Mengapa setelah di update tampilan layarnya jadi kecil,3,Why after updating the screen display so small
674,"Setelah diupdate, suaranya jadi keredam dan ga jelas, lebih bagus yang versi sebelumnya, suaranya lebih jelas dan ga putus-putus",1,"After updating, the sound is muted and not clear, it's better than the previous version, the sound is clearer and doesn't stutter"
675,Ok,5,Ok
676,Mantaap dehh apps ini luar biasa walaupun tak semua yang mengerti memakai apps ini. Padahal semua apps sama aja yang mana anda pakai pasti sama jaringannya.,5,"It's great, these apps are amazing, even though not everyone understands how to use these apps. Even though all apps are the same, whichever you use must be the same network."
677,"Tolong sediakan fitur fitur yang lebih lengkap di hp seperti background dan filter biar app nya lebih bagus dan enak. Dan jadikan juga frame layar di hp dibuat agar semua anggotanya terlihat, siapa aja yg oncam, dan siapa aja yg onmic. Terimakasih banyak.",2,"Please provide more complete features on cellphones such as backgrounds and filters so that the app is better and more enjoyable. And also make the screen frame on the cellphone so that all members can be seen, who is oncam, and who is onmic. Thanks very much."
678,Bgs,5,Bgs
679,Bagusssss bgttttttttttttt,5,Very nicettttttttttt
680,Asli keren banget make hp tapi bisa ganti background love bgttt. Semoga background nya semakin beragam????????,5,"It's really cool to use a cellphone but can change the background, love is really great. Hopefully the background will be more diverse????????"
681,Biasa sajaa,5,It's okay
682,Bagussassss,5,Nicessss
683,Michi,1,Michi
684,PC yes phone yes seru !!!!!!!,5,PC yes phone yes fun !!!!!!!!
685,Oke,1,Okay
686,Dwomantymo,1,Dwomantymo
687,Lama nyambungnya kesel dehhh,2,"It's a long time to connect, it's annoying"
688,Sangatimpressive,5,Very impressive
689,Ok,5,Ok
690,??,2,??
691,"Sayang sekali padahal dulu sebelum ada pembaruan google meet ini sangat nyaman karena sangat ringan. Tapi setelah dilakukan pembaruan aplikasinya jadi sangat berat. Dulu dalam kondisi sulit sinyal masih bisa join room, sekarang hanya sekedar masuk waiting room saja sulit kalau sinyalnya tidak stabil.",3,"It's a shame even though before the Google Meet update it was very convenient because it was very light. But after updating the application it becomes very heavy. In the past, in difficult conditions, the signal was still able to join the room, now just entering the waiting room is difficult if the signal is unstable."
692,Bagus banget bisa bertemu teman,4,It's great to meet friends
693,Mohon maaf ini kalau digunakan sering keluar sendiri kenapa ya,1,"Sorry if this is used often, why does it come out by itself?"
694,Bagusssssssssss,5,Nicessssssss
695,aplikasi ini sangat bagusss Tapi terkadang kode susah di verifikasi..Sekian Terimakasih,5,"This application is very good, but sometimes the code is difficult to verify.. Thank you so much"
696,Saya benci sekolah,3,I hate school
697,Update yang terbaru malah tampilannya jadi kecil ??. Mending downgrade ke versi tahun 2020.,3,The latest update even looks so small??. Better to downgrade to the 2020 version.
698,"Hai saya shafira Maulida.maaf saya pake akun mamah saya,menurut saya aplikasi ini bagus bangeet silahkan kalian download oky aplikasi ya bagus loh??",5,"Hi, I'm Shafira Maulida. I'm sorry I used my mamah account, I think this application is really good, please download the application, is it good?"
699,Nice,5,nice
700,Disuruh update sama guru,5,Asked to update the teacher
701,Luar biasa,4,Extraordinary
702,Picek matamu mbiyen susah malyu nengdii asuuuuuuuuuu,1,"Pinch your eyes, it's really hard to feel bad for it assssssssssssssssss"
703,Top,5,Top
704,cukup membantu,4,quite helpful
705,"Jangka waktu pesan dan barang tiba, cepat",5,"Order period and goods arrive, fast"
706,Mantap aplikasi ini,5,Great this app
707,Kelamaan enggak suka ????????,1,Don't like it for a long time ????????
708,Good apk??,5,good apk??
709,Good,3,good
710,Sangat memuaskan,5,Very satisfy
711,Kenapa fitur mengubah background tidak bisa semua? Hanya beberapa?,4,Why can't all the background change features work? Only a few?
712,B aja,3,just B
713,"Saya bantu 1 bintang ya, ??????",1,"I help 1 star, okay?????"
714,"JANGAN KASIH margin di inggir layarnya, tiru saja ZOOM bagus.",1,"DO NOT GIVE THE margin on the edge of the screen, just blue ZOOM is good."
715,sangat membantu dan berguna sekali?,5,very helpful and very useful?
716,Bagus,5,Good
717,Membantu adek sya fbri untuk sekolah disaat pandemi covid,5,Helping my sister fbri for school during the covid pandemic
718,"Bahasa malaysia, gua orang indon",1,"Malay language, I'm Indonesian"
719,Untk tampilan saya suka yg dulu karena gambar nya lebih full dan jelas si layarnya sama suara jujur lebih jelas dan keras kl skrng udh layarnya kecil karena d bagi2 nggak bisa full sama suaranya itu skrng udh d full kn volumenya tp suaranya masih kecil aj. Saya harap untk tampilan nya lebih bagus sprti dahulu dr pd sprti saat ini,3,"As for the display, I like the old one because the picture is fuller and clearer, the screen is the same, the honest voice is clearer and louder, when the screen is small, because dividing it can't be full with the sound, now the volume is full, but the sound is still small. I hope the appearance is better like before than at this time"
720,Martinus Anouw,5,Martinus Anouw
721,"Kalo saya lebih nyaman setelah app di update sebelum ini, mungkin fitur yang bisa tetap ada setelah di update ketika app di buka di atas app lain masih bisa jalan",3,"If I'm more comfortable after the app was updated earlier, maybe features that can still exist after being updated when the app is opened on top of other apps can still work"
722,Lemot,1,Slow
723,Assalamu'alaikum maaf sya kasih 4 dulu aku baru coba ??,4,Assalamu'alaikum sorry I gave 4 first I just tried??
724,Nice,5,nice
725,??,5,??
726,Apk sangat bagus,5,Very good app
727,"Tolong tambahkan mode rekaman, agar mudah untuk direkam ketika melakukan presentasi",4,"Please add a recording mode, so that it's easy to record when presenting"
728,Mantabbb,5,great
729,Bagus,5,Good
730,bagus ckliee ! ????,5,nice clie! ????
731,Mantap,5,Great
732,kameraa tidak berfungsi anehh!!!!,1,camera not working weird!!!!
733,Di update malah ngelag suka keluar keluar sendiri,3,"In the update, it even lags like going out on its own"
734,Good,5,good
735,Bagus kukasi 5 bintang,5,Good I give 5 stars
736,"Tolong tampilan google meet nya dibuat nyaman dan praktis di HP maupun PC. Untuk tampilan yang di HP layar nya dibuat luas agar bisa keliatan. Terus tampilan google meet punya temen jangan dimunculin di layar utama, jadinya gak keliatan orang yg sedang bicara maupun melihat tulisan yang ada di layar. Terimakasih, tolong segera diperbaharui ya??",1,"Please make the google meet display comfortable and practical on your cellphone or PC. For the display on the cellphone, the screen is made wide so that it can be seen. Then, don't show your friend's google meet display on the main screen, so you don't see the person who is talking or seeing the writing on the screen. Thanks, can you update it soon?"
737,Cukup Baik,5,Pretty good
738,Asiaaaaappp,5,Asiaaaaappp
739,Aplikasi meet ini sangat membantu bagi murid yang sukanya online dirumah,5,This meet application is very helpful for students who like to be online at home
740,Thoyyib,5,thoyyib
741,Baik,4,Well
742,??????????????????????,5,????????????????????????
743,"terima kasih sudah buat google meet seperti dulu lagi, seperti ini jadi lebih enak dan nyaman ga perlu repot??????",4,"thank you for making google meet like before, like this it becomes more comfortable and comfortable, no need to bother???????"
744,Makin ga jelas dah makin ribet ga bisa atur atur pula. Terlalu simpel bgt pengaturannya gada menu apa apa untuk kita ngatur bagusnya gimana terlalu maksa bgt.,1,"The more unclear it is, the more complicated it is that you can't arrange it anyway. It's too simple to set up, there's no menu what for us to set, how good is it, it's too pushy."
745,"Saran untuk gmeet. Kalau lagi sama-sama on mic, suara suka bergema karena suara pembicara dipantulkan lagi oleh suara pendengar. Karena itu, saya jadi harus pake headset buat menghindari suara bergema tsb.",2,"Suggestions for gmeet. If you are both on the mic, your voice will echo because the speaker's voice is reflected again by the listener's voice. Because of that, I had to use a headset to avoid the echoing sound."
746,??????????,5,????????????
747,"Pihak Google Meet, kalau di update tolong tampilan nya jangan di ubah, ketika saya belajar dan melihat share screen, layar meet nya kebanyakan anggota jadi mengganggu. Jadi sy kurang fokus belajar dan terganggu. Terima kasih",1,"Google Meet party, if it's updated, please don't change the display, when I study and see the share screen, the meet screen of most members becomes annoying. So I can't focus on studying and get distracted. Thank you"
748,Mohon maaf kok setiap saya masuk ke dalam meet ini sinyal nya putus putus dan suka berisik tolong update kan yang baru,5,"I'm sorry, how come every time I enter this meeting, the signal breaks and is noisy, please update a new one"
749,Bagus buat belajar online,5,Good for online learning
750,Lebih bagus lagi kalau seluruh anggota dalam meeting bisa terlihat semua seperti yang PC. Ada menu untuk mengatur tata letak.,5,It would be even better if all members in the meeting could all look like the PC. There is a menu to set the layout.
751,Bagus sih bagus tapi harus donlod donlold lagi mending pake zoom :^,4,"It's good, it's good but you have to download it again, it's better to use zoom :^"
752,Anjay,4,Anjay
753,SEMENJAK UPDATE MALAH SUARANYA PUTUS PUTUSS,1,SINCE THE UPDATE EVEN THE VOICE IS BREAK UP
754,Kok gak bisa upgrade sih masa temen temen aku bisa di upgrade kok ini gak bisa sih Tolong di perbaiki dong,1,"How come I can't upgrade, my friends can upgrade, how come this doesn't work, please fix it"
755,Bagus,5,Good
756,Sangat berguna sekali aplikasi ini,5,This application is very useful
757,Bang tolong jangan hamparan dong plesss,3,Bro please don't stretch it plsss
758,Bagus,5,Good
759,Bagus,4,Good
760,"Aplikasi ini sangat mendukung kegiatan daring online, terimakasih google meet",5,"This application really supports online online activities, thank you google meet"
761,Bagus,5,Good
762,bagus,5,good
763,Sering putus d tengah,1,Often break up in the middle
764,Very good,5,Very good
765,Sangat mudah untuk kuliah online atau pun rapat online,5,Very easy for online lectures or online meetings
766,Bagus,5,Good
767,Rasis,1,racist
768,Tolong perbaiki ye,1,Please fix it
769,APLIKASINYA BAGUUUSSS,5,THE APPLICATION IS AWESOME
770,Bagus,5,Good
771,Baik,5,Well
772,Membantu sekali untuk sekolah online sekarang,4,Very helpful for online school now
773,APK Bagus cuma suaranya putus putus ????????????????????,4,Good APK only the sound is broken ????????????????????
774,"Setelah saya update, kok tiba tiba suaranya gak muncul ya, padahal sudah di klik voice nya tapi malah Ndak dengar suara orang lain, mohon untuk di teliti lagi perbaikannya.",1,"After I updated, how come the sound suddenly doesn't appear, even though I clicked on the voice but instead I don't hear other people's voices, please check the repair again."
775,Good application,5,Good application
776,Gak bisa masuk rapat kelas ajg,1,Can't even go to class meetings
777,Kenapa keluar masuk keluar masuk,2,Why go in and out
778,Kok download lama ya?,1,Why is it taking so long to download?
779,"Tolong ini perbaiki ya, semenjak update pas daring susah gak kek dulu enak ngeliat guru ini setengah setengah tolong ya sumpah jir",1,"Please fix this, yes, since updating online, it's been difficult, isn't it good to see this teacher half and half please I swear to you"
780,Bagus yang terbaru nya bagus banget,5,"Good, the newest one is really good"
781,Tolong dong diperbaiki!!!! tiap saya ngomong di mikrofon selalu kecil suarannya kadang gk kedengaran padahal sinyalnya bagus tolong dongg pihak meet,3,"Please fix it!!!! every time I talk into the microphone, the sound is always low, sometimes I can't hear it even though the signal is good, please help me meet"
782,Sering Panas,1,Often Hot
783,APLIKASI INI SANGAT JELEK SEKALI ???? KELUAR SENDIRI TIDAK ADA SUARA,1,THIS APPLICATION IS VERY BAD ???? EXIT ALONE NO VOICE
784,Ini skrng akhir akhir ini meet sering keluar masuk keluar masuk terus pdhal sinya kuota semuanya sudah memadai tolong fi kembangkan,1,"It's now lately, the meet often goes in and out, even though the quota signal is all adequate, please develop it"
785,Sangat berguna,5,Very useful
786,Bagus kok,5,How good
787,Bagus,5,Good
788,Nicr,5,Nicr
789,This application is normal ......... but it's a lie,1,This application is normal ......... but it's a lie
790,Lumayan bagus,4,Pretty good
791,"Setelah update apk gabisa diminimize dan klo dilakuin tampilannya gaberubah tp gabisa sentuh apapun, jd gabisa sambil buka apk lain",1,"After updating the apk, it can't be minimized and if you do it the display doesn't change, but you can't touch anything, so you can't open another apk"
792,Bodoh gus kasi kesempatan gua leg banhet anjingggg,5,It's stupid to give me the chance to give you a leg up
793,Kenavpaa aplnya berhentii kenavpaaa??,2,Why did the apk stop why??
794,Jelek,1,Bad
795,Bagus sekali Aplikasi ini.jangan lupa kasih bintang ?? lima ya,5,This application is very good. don't forget to give a star ?? five huh
796,Yashh,4,Yash
797,Aplikasinya jelek banget kalo nge lag sampe hp nge freeze,1,The application is really bad when it lags until the phone freezes
798,Aplikasinya bagus bangettt-!!!!!!!!!!!!!,5,The app is really good!!!!!!!!!!!!!!!!
799,Good,5,good
800,Membantu,5,Help
801,Aplikasi ini sangat berguna dan membantu bagi saya,3,This app is very useful and helpful for me
802,"Lebih suka penampilan meet yg dulu , tinggal scrol bisa ngeliat teman kita kl buka camera.",4,"I prefer the appearance of the old meet, all you have to do is scroll and see your friends when you open the camera."
803,Gara gara lu kita jadi daring,1,Because of you we are online
804,Buruk,1,Bad
805,Membantu,5,Help
806,Lumayan,1,Reasonable
807,Gg,5,gg
808,Puas,5,Satisfied
809,Good,5,good
810,"App nya diperbarui, saya menyalakan kamera selalu keluar terus dari google meet.",1,"The app is updated, I turn on the camera always exits google meet."
811,Aplikasi ini bagus sekali,5,This app is great
812,SANGAT MENYEBALKAN KARNA MIC SAYA TIDAK BERFUNGSI DI PC MAUPUN HP. PERIZINAN SUDAH SEMUA UTK MIC KAMERA KONTAK DAN TELPON. TOLONG SEGERA DIPERBAIKI ATAU TIDAK SOLUSINYA. TERIMA KASIH,1,VERY ANNOYING BECAUSE MY MIC DOESN'T WORK ON PC OR PHONE. ALL PERMISSIONS ARE FOR CAMERA MIC CONTACT AND PHONE. PLEASE FIX IT IMMEDIATELY OR NO SOLUTION. THANK YOU
813,Good,5,good
814,Wacca,5,Wacca
815,Tampilan versi baru tdk nyaman. Adalah baik jika ada pengaturan untuk model tampian.,2,The look of the new version is uncomfortable. It is good if there is a setting for the display model.
816,Ok,5,Ok
817,Bagus jimat data,5,Good data saver
818,Kasih cepatti,5,Hurry up love
819,Kadang terjadi beberapa bug,5,Sometimes some bugs happen
820,Semoga bermanfaat,4,May be useful
821,Bagus,5,Good
822,Ok,5,Ok
823,Bagus,5,Good
824,Mantab benar. Simple,5,Great right. Simple
825,Mohon kepada pihak g-meet untuk memperbaiki sistemnya. Saya pas mau masuk meet selalu gagal dan gak bisa masuk padahal jaringan saya stabil. Kalo kayak gini saya gak bisa ikut kuliah,3,"Ask g-meet to fix the system. When I want to enter meet it always fails and can't log in even though my network is stable. If it's like this, I can't go to college"
826,Good,5,good
827,"kenapa setelah saya update google meet saya tidak bisa dibuka? langsung keluar terus, tolong perbaiki ya kalo kaya gini caranya saya tidak bisa mengikuti kelas setiap hari:)",1,"why after i update google meet i can't open? I just left straight away, please fix it, if it's like this, I can't take classes every day :)"
828,"Google meet nya payah, kok mau on camera malah tidak bisa sih. Dan saat on camera handphone malah ngelag . Payah lah, Tolong diperbaiki ini jangan seperti ini lagi. Terima Kasih ????!",1,"Google meet sucks, how come you can't even want to be on camera. And when on camera, the cellphone lags. It's bad, please fix this, don't be like this again. Thank you ????!"
829,"Tampilannya semakin ribet,makin di-update makin ga guna tampilannya,mending tampilannya seperti yg awal aja.",1,"It looks more complicated, the more it is updated, the more useless it looks, it's better to look like the first one."
830,aplikasi sangat membantu saya,3,the app really helped me
831,Top,5,Top
832,"Ap ny sih udh bagus. Tp jangan sering-sering update. Kan saya gatau klo gm ini update terus terusan, sy jd suka keluar masuk gm ini. Untungny sy dikasih tau sm temen sy klo coba update dlu",3,"What's good? But don't update often. I don't know if this gm updates continuously, so I like going in and out of this gm. Luckily, I was told by my friend when I tried to update first"
833,Sangat bagus,5,Very good
834,"Untuk developer, tolong untuk fitur obrolan dikembangkan. Akan lebih nyaman jika saat masuk gmeet apabila anggota sebelumnya sudah melakukan obrolan, anggota yg baru bergabung bisa melihat obrolan yang telah anggota lain lakukan???? Supaya anggota yg baru bergabung tidak ketinggalan informasi??",4,"For developers, please for the chat feature to be developed. It will be more convenient if when entering Gmeet if the previous member has chatted, the new member can see the chat that other members have done???? So that new members who join do not miss the information??"
835,Tampilan antar muka lebih enak yang sebelumnya.,2,The interface looks better than before.
836,Mantap,5,Great
837,"Saya belum dpat mendownload,kenapa nggk bisa di downlod aplikasinya?????",5,"I can't download, why can't I download the app?????"
838,??,5,??
839,Saya sangat kecewa karena aplikasi ini buat saya jadi susah mendapatkan informasi karena sering terkendala sinyal,1,I am very disappointed because this application makes it difficult for me to get information because it often has signal problems
840,kenapa tidak bisa mengakses kamera..ketika saya meet wajah saya tidak kelar??,4,why can't access the camera..when i meet my face doesn't finish??
841,Kadang putus.,4,Sometimes it breaks.
842,Aplikasi google meet ini bagus tapi gurunya aja yang tolol,5,This google meet app is good but the teacher is stupid
843,????,5,????
844,Aplikasi ini bagus ...tapi masalahnya suaranya agak putus2,3,This application is good ...but the problem is the sound is a bit intermittent
845,"Di update gak bisa², setiap mau meet sekolah anak gak bisa masuk terus...coba uninstal trus instal ulang malah loading aja gak bisa² instal...hadeeuuhh",1,"I can't update it, every time I want to meet my child's school, I can't keep going... try uninstalling and then reinstalling it even loading it can't install...hadeeuuhh"
846,Sangat bermanfaat untuk belajar anak aku makasih google meet,5,"Very useful for my child's learning, thank you google meet"
847,Aplikasi nya jelek sering putus putus susah loginya di saat kuliah online,1,"The application is bad, it often breaks, it's difficult to log in when studying online"
848,Sangat membantu untuk pembelajaran,5,Very helpful for learning
849,Sangat jelek gmeet yang terbaru ini... Nyesel ke update gegara wifi...,1,It's really bad this latest game... Regrets to update due to wifi...
850,Sering ilang suaranya padahal udah mengatifkan mic,1,Often loses his voice even though he has activated the mic
851,makasih sudah membantu program kegiatan belajar??,4,Thank you for helping with the learning program??
852,Lumayan baik,4,Quiet good
853,Bagus,5,Good
854,Aplikasi ini sangat error,2,This application is very error
855,masa ga bisa download si kocak!!!!,1,can't download the funny guy!!!!
856,jelek bikin aku stress,1,ugly makes me stress
857,Tidak bagus lebih baik langsung datang ke sekolah saja Bikin susah aja,1,"It's not good, it's better to just come straight to school. Just make it difficult"
858,Porno,1,Porn
859,Temen saya bisa pke background kok saya engga? ??,3,"My friend can use the background, why can't I? ??"
860,"Sangat bermanfaat, maa shaa Allahh",5,"Very useful, Ma sha Allah"
861,Semoga lancar,5,I hope all goes well
862,Download tidak bisa ni bgmn Google,5,"Can't download, how about Google"
863,Susah banget anjir versi baru bangke banget share screen dari orang ga keliatan mana keluar masuk terus??????,1,"It's really hard to come up with the new version, it's really great to share screens from people who can't see where it goes in and out???????"
864,Aplikasi sangat membantu banget,5,The application is very helpful
865,"Macet banget ???????? Suka keluar sendiri, make link g bisa make kode langsung keluar padahal sinyal lancar memori jga gk penuh",1,"Too bad ???????? I like to go out myself, using a link, I can't use the code directly, even though the signal is smooth, the memory is not full"
866,bolak balik kon update trus...,1,why do you keep updating...
867,Memudahkan belajar,5,Easy to learn
868,Sangat bagus,5,Very good
869,????,5,????
870,Nice,5,nice
871,Oke,5,Okay
872,Ini bagus,4,This is good
873,Bagus,5,Good
874,????????????,5,????????????
875,Google please now gmeet i think not comfortable because the video box is not match with smartphone user. Please back to full video who speak??,3,Google please now gmeet i think not comfortable because the video box is not match with smartphone user. Please back to full video who speak??
