userName;content;score;at;Nilai;;;
Sausan Dhani Nur Amirah;Sudah update tapi fitur sama saja;1;2021-06-02 03:22:24;NEGATIF;;;
damayanti virna;Jujur pas di update pertama ny b aj tapi akhir² ini mmg sring ngelag kaya misalny keluar sendiri terus nnyain kualitas video nya apa lagi klo lagi jawab pertanyaan tiba² malah kluar sendiri kan kesan ny kek w tuh takut jwb gitu jadi kalo yg blom update mending gak usah di update suwer aneh capeek;2;2021-06-02 02:50:55;NEGATIF;;;
21. Rio ferdinand;ora sekolah rapot ora smile;5;2021-06-02 02:41:06;POSITIF;;;
Yui Setiawan;Mantap;5;2021-06-02 02:33:23;POSITIF;;;
Ozi SiAhmad;Oji sahabatnya iyas;1;2021-06-02 02:33:04;NEGATIF;;;
Ahmad Alfariqi;Entah kenapa di hp saya tampilannya berubah, menjadi seperti ketika meet diakses lewat Gmail. Padahal saya lebih suka tampilan dhulu;5;2021-06-02 02:22:48;POSITIF;;;
Nasywa Mun's;Aplikasi nya lebih bagus jika ditambahkan filter IG??????;4;2021-06-02 01:24:16;POSITIF;;;
L;Semenjak update Layarnya jadi kecil dan susah diliat;1;2021-06-02 01:08:09;NEGATIF;;;
ngger momok;........ .............. ...........;3;2021-06-02 00:55:22;NEGATIF;;;
Widia Lantika Siagian;Bagus bagus aja;4;2021-06-02 00:50:48;POSITIF;;;
Miss Rie;Kameranya off secara otomatis. Blm ada 3 menit, udh 5x mati. Padahal udh di update. Payah dah;1;2021-06-02 00:34:00;NEGATIF;;;
AZAHRA Nur azizah;Kata bugurh jangan di hapus;3;2021-06-02 00:23:04;NEGATIF;;;
Arifin Arifin;Bagus banget;5;2021-06-01 23:26:58;POSITIF;;;
Diiva Irfani;Lumayan, tpi lebih bgus lgi klo bnyak muka yg keliatan;4;2021-06-01 23:13:49;POSITIF;;;
Achmad Daffa Abiyyu;Mohon tambahin fitur kek green screen di belakang;1;2021-06-01 22:29:39;NEGATIF;;;
nashwa f;Kasi fitur ubah background dong :( diaku gada hiks;3;2021-06-01 14:54:29;NEGATIF;;;
m;iyas;1;2021-06-01 09:22:28;NEGATIF;;;
Desita Murtiayu2009;Jaringan nya lumayan bagus;4;2021-06-01 07:54:29;POSITIF;;;
Ambar Sulestianingrum;Bagus;5;2021-06-01 07:20:46;POSITIF;;;
Tri Nanda;Aplikasi sangat membantu ibu saya untuk vc gurunya karena ibu saya senang sekali belajar terima kasih gugel meeeeettt??;5;2021-06-01 05:25:05;POSITIF;;;
Nadia Putrii6324;Kasih bintang 2 dlu,soalnya baru mau nyoba klau oke nnti kasih bintang 5??;2;2021-06-01 05:09:29;NEGATIF;;;
Machia Tjahyo;Mantul;5;2021-06-01 03:40:23;POSITIF;;;
Ghandhent Poetra;Aplikasi ini membuat saya depresi karena guru selalu menggunakannya setiap hari saya jadi depresi;1;2021-06-01 03:11:37;NEGATIF;;;
Farhan Noer;Di update bukannya bagus malah nambah ancur. Keluar tiba tiba. Masuk room susah. Padahal sinyal bagus;1;2021-06-01 02:59:09;NEGATIF;;;
jehan fariz vadano;Gk bisa donload;3;2021-06-01 02:53:57;NEGATIF;;;
Gilang Very Febriyanto;Tolong jangan sampai keluar dari aplikasi. Ini menggangu.;1;2021-06-01 02:45:42;NEGATIF;;;
Ulum Rosyidi;Bagus dan cukup bermanfaat.;5;2021-06-01 02:37:12;POSITIF;;;
TASLIM NOOB;Bagus sih.;4;2021-06-01 02:05:42;POSITIF;;;
Abdira Timur;Mantep;5;2021-06-01 02:01:49;POSITIF;;;
Raiqa Hafiza;Bagus;5;2021-06-01 01:39:32;POSITIF;;;
DANIEL DEA;Error trus;3;2021-06-01 01:26:10;NEGATIF;;;
Dinast call 123;Saya tak suka;1;2021-06-01 00:41:35;NEGATIF;;;
Wati Putri;Maaf.. bagi saya yang masih awam sangatlah membingungkan??;3;2021-06-01 00:35:41;NEGATIF;;;
Andi Nabilah;Baik;5;2021-05-31 22:50:52;POSITIF;;;
Puput Rahayu;Bagus bngt wajib download sii;5;2021-05-31 22:27:49;POSITIF;;;
Nazira Maharani;SO GOOD SO LOVE U;5;2021-05-31 16:49:32;POSITIF;;;
mamie senbonzakura;Mengapa setelah di update tampilan layarnya jadi kecil;3;2021-05-31 14:36:59;NEGATIF;;;
Widhaninggar Andrawina;Setelah diupdate, suaranya jadi keredam dan ga jelas, lebih bagus yang versi sebelumnya, suaranya lebih jelas dan ga putus-putus;1;2021-05-31 14:29:50;NEGATIF;;;
Math Dore;Ok;5;2021-05-31 12:58:14;POSITIF;;;
Berkat Slamat Sinaga;Mantaap dehh apps ini luar biasa walaupun tak semua yang mengerti memakai apps ini. Padahal semua apps sama aja yang mana anda pakai pasti sama jaringannya.;5;2021-05-31 12:48:30;POSITIF;;;
Laumo;Tolong sediakan fitur fitur yang lebih lengkap di hp seperti background dan filter biar app nya lebih bagus dan enak. Dan jadikan juga frame layar di hp dibuat agar semua anggotanya terlihat, siapa aja yg oncam, dan siapa aja yg onmic. Terimakasih banyak.;2;2021-05-31 12:30:04;NEGATIF;;;
Asriadi Mustapa;Bgs;5;2021-05-31 12:08:08;POSITIF;;;
Siti Munjiah;Bagusssss bgttttttttttttt;5;2021-05-31 11:51:57;POSITIF;;;
Babyblack Pearl;Asli keren banget make hp tapi bisa ganti background love bgttt. Semoga background nya semakin beragam????????;5;2021-05-31 11:44:27;POSITIF;;;
I Putu Ardi Winata;Biasa sajaa;5;2021-05-31 09:47:06;POSITIF;;;
Santo Susanto;Bagussassss;5;2021-05-31 09:06:48;POSITIF;;;
Dwnrynn Cky;Michi;1;2021-05-31 06:53:59;NEGATIF;;;
Muhammad Fajri Al falah;PC yes phone yes seru !!!!!!!;5;2021-05-31 06:09:14;POSITIF;;;
M.H.T.R TAMAM;Oke;1;2021-05-31 05:40:19;NEGATIF;;;
Jose Aparicio;Dwomantymo;1;2021-05-31 04:31:00;NEGATIF;;;
Arumi rumi;Lama nyambungnya kesel dehhh;2;2021-05-31 03:33:11;NEGATIF;;;
Mr. Nabil Dhiya Ulhaq;Sangatimpressive;5;2021-05-31 03:13:08;POSITIF;;;
Nuris Nuris;Ok;5;2021-05-31 03:12:47;POSITIF;;;
Pengen Cell;??;2;2021-05-31 03:12:37;NEGATIF;;;
francisca adita;Sayang sekali padahal dulu sebelum ada pembaruan google meet ini sangat nyaman karena sangat ringan. Tapi setelah dilakukan pembaruan aplikasinya jadi sangat berat. Dulu dalam kondisi sulit sinyal masih bisa join room, sekarang hanya sekedar masuk waiting room saja sulit kalau sinyalnya tidak stabil.;3;2021-05-31 02:00:42;NEGATIF;;;
Arsy Mutia Balqies;Bagus banget bisa bertemu teman;4;2021-05-31 01:51:17;POSITIF;;;
Noval;Mohon maaf ini kalau digunakan sering keluar sendiri kenapa ya;1;2021-05-31 01:31:37;NEGATIF;;;
azzahra nur ainy aditya;Bagusssssssssss;5;2021-05-31 00:43:05;POSITIF;;;
jelita nuraaini;aplikasi ini sangat bagusss Tapi terkadang kode susah di verifikasi..Sekian Terimakasih;5;2021-05-30 23:52:29;POSITIF;;;
Michelle;Saya benci sekolah;3;2021-05-30 23:34:12;NEGATIF;;;
Tarsisius Dimas;Update yang terbaru malah tampilannya jadi kecil ??. Mending downgrade ke versi tahun 2020.;3;2021-05-30 16:31:35;NEGATIF;;;
Iik Hikmah;Hai saya shafira Maulida.maaf saya pake akun mamah saya,menurut saya aplikasi ini bagus bangeet silahkan kalian download oky aplikasi ya bagus loh??;5;2021-05-30 15:49:35;POSITIF;;;
Subhan;Nice;5;2021-05-30 14:52:55;POSITIF;;;
NICKOezy;Disuruh update sama guru;5;2021-05-30 14:28:08;POSITIF;;;
Mega Wati;Luar biasa;4;2021-05-30 13:48:41;POSITIF;;;
Nesti Nesti;Picek matamu mbiyen susah malyu nengdii asuuuuuuuuuu;1;2021-05-30 12:46:27;NEGATIF;;;
M.azkapirlo Yani;Top;5;2021-05-30 11:48:56;POSITIF;;;
Ahsan Sirza;cukup membantu;4;2021-05-30 11:48:48;POSITIF;;;
Maria Wona;Jangka waktu pesan dan barang tiba, cepat;5;2021-05-30 08:03:08;POSITIF;;;
Tedi Polopangale;Mantap aplikasi ini;5;2021-05-30 04:17:01;POSITIF;;;
Tril Singono86;Kelamaan enggak suka ????????;1;2021-05-30 04:13:35;NEGATIF;;;
Wiwit Syahadat;Good apk??;5;2021-05-30 02:50:07;POSITIF;;;
Khorib Duddin;Good;3;2021-05-30 01:28:46;NEGATIF;;;
Anicetus Surono;Sangat memuaskan;5;2021-05-30 00:34:28;POSITIF;;;
Hacker Vos;Kenapa fitur mengubah background tidak bisa semua? Hanya beberapa?;4;2021-05-29 22:36:00;POSITIF;;;
Sesaria Aya;B aja;3;2021-05-29 16:04:18;NEGATIF;;;
Firyal Safinatunnajah;Saya bantu 1 bintang ya, ??????;1;2021-05-29 13:54:40;NEGATIF;;;
Aji Purnomo;JANGAN KASIH margin di inggir layarnya, tiru saja ZOOM bagus.;1;2021-05-29 13:25:47;NEGATIF;;;
Muh Fadhlias;sangat membantu dan berguna sekali?;5;2021-05-29 12:18:55;POSITIF;;;
Aca Natasha Aulia Putri;Bagus;5;2021-05-29 10:06:53;POSITIF;;;
ririn afrini;Membantu adek sya fbri untuk sekolah disaat pandemi covid;5;2021-05-29 09:47:18;POSITIF;;;
Muhammad Alwi;Bahasa malaysia, gua orang indon;1;2021-05-29 09:32:01;NEGATIF;;;
Willy Wahid;Untk tampilan saya suka yg dulu karena gambar nya lebih full dan jelas si layarnya sama suara jujur lebih jelas dan keras kl skrng udh layarnya kecil karena d bagi2 nggak bisa full sama suaranya itu skrng udh d full kn volumenya tp suaranya masih kecil aj. Saya harap untk tampilan nya lebih bagus sprti dahulu dr pd sprti saat ini;3;2021-05-29 08:07:41;NEGATIF;;;
Oppo A tiga s;Martinus Anouw;5;2021-05-29 06:42:50;POSITIF;;;
Yeni Setyo Wardani;Kalo saya lebih nyaman setelah app di update sebelum ini, mungkin fitur yang bisa tetap ada setelah di update ketika app di buka di atas app lain masih bisa jalan;3;2021-05-29 06:23:20;NEGATIF;;;
Nova Irmayanti fratiwi;Lemot;1;2021-05-29 06:19:14;NEGATIF;;;
Bagus Saputra;Assalamu'alaikum maaf sya kasih 4 dulu aku baru coba ??;4;2021-05-29 04:55:28;POSITIF;;;
erin rinata;Nice;5;2021-05-29 04:10:11;POSITIF;;;
Yulianah Yulianah;??;5;2021-05-29 03:51:55;POSITIF;;;
Yati Zein;Apk sangat bagus;5;2021-05-29 03:11:00;POSITIF;;;
Friscila Claudia;Tolong tambahkan mode rekaman, agar mudah untuk direkam ketika melakukan presentasi;4;2021-05-29 03:03:02;POSITIF;;;
sofya anindya;Mantabbb;5;2021-05-29 02:17:47;POSITIF;;;
It's me dinaryolanda;Bagus;5;2021-05-29 01:59:55;POSITIF;;;
zefanya fida celia;bagus ckliee ! ????;5;2021-05-29 01:55:52;POSITIF;;;
MADINA TV;Mantap;5;2021-05-29 01:21:00;POSITIF;;;
Yayan Indriyani;kameraa tidak berfungsi anehh!!!!;1;2021-05-28 16:00:33;NEGATIF;;;
Tri Aryani;Di update malah ngelag suka keluar keluar sendiri;3;2021-05-28 14:24:46;NEGATIF;;;
Erik Okkhiwong Lee;Good;5;2021-05-28 14:23:00;POSITIF;;;
Yuhaniz _;Bagus kukasi 5 bintang;5;2021-05-28 13:20:24;POSITIF;;;
vivian marchy;Tolong tampilan google meet nya dibuat nyaman dan praktis di HP maupun PC. Untuk tampilan yang di HP layar nya dibuat luas agar bisa keliatan. Terus tampilan google meet punya temen jangan dimunculin di layar utama, jadinya gak keliatan orang yg sedang bicara maupun melihat tulisan yang ada di layar. Terimakasih, tolong segera diperbaharui ya??;1;2021-05-28 12:49:27;NEGATIF;;;
Thomas Paulinus;Cukup Baik;5;2021-05-28 12:33:00;POSITIF;;;
Nurhadi Hadi19;Asiaaaaappp;5;2021-05-28 12:11:19;POSITIF;;;
Firansya Abdurrahman;Aplikasi meet ini sangat membantu bagi murid yang sukanya online dirumah;5;2021-05-28 11:45:27;POSITIF;;;
Hermanto ST;Thoyyib;5;2021-05-28 11:39:28;POSITIF;;;
Rianto Derman Ganda Simamora;Baik;4;2021-05-28 10:51:12;POSITIF;;;
Santi Sanjaya;??????????????????????;5;2021-05-28 08:19:19;POSITIF;;;
Nabila Muthia Putri;terima kasih sudah buat google meet seperti dulu lagi, seperti ini jadi lebih enak dan nyaman ga perlu repot??????;4;2021-05-28 06:08:30;POSITIF;;;
Salrlia;Makin ga jelas dah makin ribet ga bisa atur atur pula. Terlalu simpel bgt pengaturannya gada menu apa apa untuk kita ngatur bagusnya gimana terlalu maksa bgt.;1;2021-05-28 05:21:02;NEGATIF;;;
002_Syifaul Amrodi;Saran untuk gmeet. Kalau lagi sama-sama on mic, suara suka bergema karena suara pembicara dipantulkan lagi oleh suara pendengar. Karena itu, saya jadi harus pake headset buat menghindari suara bergema tsb.;2;2021-05-28 03:58:58;NEGATIF;;;
FAUZIA TUNNISA;??????????;5;2021-05-28 03:46:53;POSITIF;;;
Erika Allyaputri Sjam;Pihak Google Meet, kalau di update tolong tampilan nya jangan di ubah, ketika saya belajar dan melihat share screen, layar meet nya kebanyakan anggota jadi mengganggu. Jadi sy kurang fokus belajar dan terganggu. Terima kasih;1;2021-05-28 03:39:36;NEGATIF;;;
Rakha Qianno Aditya Putra;Mohon maaf kok setiap saya masuk ke dalam meet ini sinyal nya putus putus dan suka berisik tolong update kan yang baru;5;2021-05-28 03:06:06;POSITIF;;;
Revand Gz;Bagus buat belajar online;5;2021-05-28 02:34:59;POSITIF;;;
Muhammad Ala'uddin Luthfi;Lebih bagus lagi kalau seluruh anggota dalam meeting bisa terlihat semua seperti yang PC. Ada menu untuk mengatur tata letak.;5;2021-05-28 02:12:58;POSITIF;;;
Naufal Birizqi;Bagus sih bagus tapi harus donlod donlold lagi mending pake zoom :^;4;2021-05-28 02:12:13;POSITIF;;;
Serang Cikande;Anjay;4;2021-05-28 01:50:42;POSITIF;;;
Yusuf Eko Prasetyo;SEMENJAK UPDATE MALAH SUARANYA PUTUS PUTUSS;1;2021-05-28 01:45:54;NEGATIF;;;
Lee Ruby;Kok gak bisa upgrade sih masa temen temen aku bisa di upgrade kok ini gak bisa sih Tolong di perbaiki dong;1;2021-05-28 01:26:52;NEGATIF;;;
Adam Sugiyanto;Bagus;5;2021-05-28 01:03:24;POSITIF;;;
Jelitaa Lita;Sangat berguna sekali aplikasi ini;5;2021-05-28 01:00:09;POSITIF;;;
Sharkas gaming;Bang tolong jangan hamparan dong plesss;3;2021-05-28 00:39:12;NEGATIF;;;
Lukman Sarap;Bagus;5;2021-05-28 00:37:33;POSITIF;;;
Muhammad Fachri Halim;Bagus;4;2021-05-28 00:17:13;POSITIF;;;
Adriel Wibi prabaswara;Aplikasi ini sangat mendukung kegiatan daring online, terimakasih google meet;5;2021-05-27 17:52:30;POSITIF;;;
Andra;Bagus;5;2021-05-27 16:25:21;POSITIF;;;
Puput Melati;bagus;5;2021-05-27 15:35:38;POSITIF;;;
Arief Subyarto;Sering putus d tengah;1;2021-05-27 14:12:03;NEGATIF;;;
Daniel Goodnews;Very good;5;2021-05-27 13:40:20;POSITIF;;;
Mega Restu Nuretika;Sangat mudah untuk kuliah online atau pun rapat online;5;2021-05-27 12:03:47;POSITIF;;;
Rey Nard;Bagus;5;2021-05-27 11:01:06;POSITIF;;;
Dwi Haryo Wicaksono;Rasis;1;2021-05-27 08:43:32;NEGATIF;;;
Fatinah Low;Tolong perbaiki ye;1;2021-05-27 07:29:16;NEGATIF;;;
Dwi Utami;APLIKASINYA BAGUUUSSS;5;2021-05-27 07:01:54;POSITIF;;;
Manta Supriatna;Bagus;5;2021-05-27 07:01:43;POSITIF;;;
Reskywahyuni Wahyuniresky;Baik;5;2021-05-27 05:13:27;POSITIF;;;
ratna df;Membantu sekali untuk sekolah online sekarang;4;2021-05-27 04:58:26;POSITIF;;;
Isnaeni Nasir;APK Bagus cuma suaranya putus putus ????????????????????;4;2021-05-27 04:04:16;POSITIF;;;
Muhammad Ridho;Setelah saya update, kok tiba tiba suaranya gak muncul ya, padahal sudah di klik voice nya tapi malah Ndak dengar suara orang lain, mohon untuk di teliti lagi perbaikannya.;1;2021-05-27 03:45:39;NEGATIF;;;
susan herwanto;Good application;5;2021-05-27 02:43:07;POSITIF;;;
Diki Wahyudi;Gak bisa masuk rapat kelas ajg;1;2021-05-27 02:40:31;NEGATIF;;;
Miduk Miduk;Kenapa keluar masuk keluar masuk;2;2021-05-27 02:36:23;NEGATIF;;;
Deva Rompies;Kok download lama ya?;1;2021-05-27 02:28:14;NEGATIF;;;
Guido 9A;Tolong ini perbaiki ya, semenjak update pas daring susah gak kek dulu enak ngeliat guru ini setengah setengah tolong ya sumpah jir;1;2021-05-27 02:12:13;NEGATIF;;;
Hanifah;Bagus yang terbaru nya bagus banget;5;2021-05-27 02:04:56;POSITIF;;;
Suci;Tolong dong diperbaiki!!!! tiap saya ngomong di mikrofon selalu kecil suarannya kadang gk kedengaran padahal sinyalnya bagus tolong dongg pihak meet;3;2021-05-27 02:01:05;NEGATIF;;;
Adrian Abror Erzaldi;Sering Panas;1;2021-05-27 01:58:03;NEGATIF;;;
LAN. TV;APLIKASI INI SANGAT JELEK SEKALI ???? KELUAR SENDIRI TIDAK ADA SUARA;1;2021-05-27 01:54:22;NEGATIF;;;
47_imelda suciati _PMI;Ini skrng akhir akhir ini meet sering keluar masuk keluar masuk terus pdhal sinya kuota semuanya sudah memadai tolong fi kembangkan;1;2021-05-27 01:48:27;NEGATIF;;;
Axel Sebastian Sinuhaji;Sangat berguna;5;2021-05-27 01:46:13;POSITIF;;;
Winne Warwick;Bagus kok;5;2021-05-27 01:45:11;POSITIF;;;
Mushab izam Haqoni;Bagus;5;2021-05-27 01:41:17;POSITIF;;;
Ega Adisti;Nicr;5;2021-05-27 01:38:02;POSITIF;;;
na Bil;This application is normal ......... but it's a lie;1;2021-05-27 01:11:23;NEGATIF;;;
Martina Tina;Lumayan bagus;4;2021-05-27 01:10:34;POSITIF;;;
Fikri Robbani;Setelah update apk gabisa diminimize dan klo dilakuin tampilannya gaberubah tp gabisa sentuh apapun, jd gabisa sambil buka apk lain;1;2021-05-27 01:02:00;NEGATIF;;;
Tobias Jethro;Bodoh gus kasi kesempatan gua leg banhet anjingggg;5;2021-05-27 01:00:48;POSITIF;;;
AHm KUsaERi atMaNtO;Kenavpaa aplnya berhentii kenavpaaa??;2;2021-05-27 00:47:53;NEGATIF;;;
Mirza gaming;Jelek;1;2021-05-27 00:44:46;NEGATIF;;;
Aldi Maiting;Bagus sekali Aplikasi ini.jangan lupa kasih bintang ?? lima ya;5;2021-05-27 00:42:49;POSITIF;;;
Alifia Cahyani;Yashh;4;2021-05-27 00:36:41;POSITIF;;;
melody ardinata;Aplikasinya jelek banget kalo nge lag sampe hp nge freeze;1;2021-05-27 00:35:55;NEGATIF;;;
Puji Siswanto;Aplikasinya bagus bangettt-!!!!!!!!!!!!!;5;2021-05-26 23:22:28;POSITIF;;;
Christo Raja;Good;5;2021-05-26 22:08:03;POSITIF;;;
Wulan Suci;Membantu;5;2021-05-26 16:31:49;POSITIF;;;
Chatarina Cepa;Aplikasi ini sangat berguna dan membantu bagi saya;3;2021-05-26 15:24:05;NEGATIF;;;
Regine Priscilla;Lebih suka penampilan meet yg dulu , tinggal scrol bisa ngeliat teman kita kl buka camera.;4;2021-05-26 14:51:47;POSITIF;;;
Blimbing hitz;Gara gara lu kita jadi daring;1;2021-05-26 14:25:19;NEGATIF;;;
Marhaban;Buruk;1;2021-05-26 13:54:35;NEGATIF;;;
widya pratiwi;Membantu;5;2021-05-26 12:18:31;POSITIF;;;
Igor Goesnardi;Lumayan;1;2021-05-26 11:45:18;NEGATIF;;;
kise derniah;Gg;5;2021-05-26 11:30:06;POSITIF;;;
Elitasari Dermawan;Puas;5;2021-05-26 07:01:47;POSITIF;;;
Yogha Desmana;Good;5;2021-05-26 06:11:02;POSITIF;;;
Zahra Yuniar;App nya diperbarui, saya menyalakan kamera selalu keluar terus dari google meet.;1;2021-05-26 04:56:17;NEGATIF;;;
Shabrina Firyaal Hamdi;Aplikasi ini bagus sekali;5;2021-05-26 04:01:47;POSITIF;;;
Yos Anas Riadi;SANGAT MENYEBALKAN KARNA MIC SAYA TIDAK BERFUNGSI DI PC MAUPUN HP. PERIZINAN SUDAH SEMUA UTK MIC KAMERA KONTAK DAN TELPON. TOLONG SEGERA DIPERBAIKI ATAU TIDAK SOLUSINYA. TERIMA KASIH;1;2021-05-26 02:53:23;NEGATIF;;;
Nasrullah Busri;Good;5;2021-05-26 01:22:53;POSITIF;;;
Rahmat Nur612;Wacca;5;2021-05-26 01:10:02;POSITIF;;;
Mochi Han14;Tampilan versi baru tdk nyaman. Adalah baik jika ada pengaturan untuk model tampian.;2;2021-05-26 00:21:09;NEGATIF;;;
Sultan Bolkiyah;Ok;5;2021-05-25 23:27:03;POSITIF;;;
Hakimi Fitri;Bagus jimat data;5;2021-05-25 15:56:00;POSITIF;;;
Virginia Diandra;Kasih cepatti;5;2021-05-25 15:08:14;POSITIF;;;
Captain Takeru;Kadang terjadi beberapa bug;5;2021-05-25 14:01:34;POSITIF;;;
Malik Fahad;Semoga bermanfaat;4;2021-05-25 13:12:09;POSITIF;;;
Elly Syamuna;Bagus;5;2021-05-25 11:01:10;POSITIF;;;
Nauli Harahap;Ok;5;2021-05-25 09:20:47;POSITIF;;;
Maizar Sesaranugrah;Bagus;5;2021-05-25 08:39:36;POSITIF;;;
achmad qowim;Mantab benar. Simple;5;2021-05-25 08:26:46;POSITIF;;;
Fita Ariska;Mohon kepada pihak g-meet untuk memperbaiki sistemnya. Saya pas mau masuk meet selalu gagal dan gak bisa masuk padahal jaringan saya stabil. Kalo kayak gini saya gak bisa ikut kuliah;3;2021-05-25 08:03:47;NEGATIF;;;
Andre Kirwel;Good;5;2021-05-25 07:39:48;POSITIF;;;
rahma wt;kenapa setelah saya update google meet saya tidak bisa dibuka? langsung keluar terus, tolong perbaiki ya kalo kaya gini caranya saya tidak bisa mengikuti kelas setiap hari:);1;2021-05-25 07:13:48;NEGATIF;;;
Ilham Jamil;Google meet nya payah, kok mau on camera malah tidak bisa sih. Dan saat on camera handphone malah ngelag . Payah lah, Tolong diperbaiki ini jangan seperti ini lagi. Terima Kasih ????!;1;2021-05-25 06:53:02;NEGATIF;;;
Noor afifah A;Tampilannya semakin ribet,makin di-update makin ga guna tampilannya,mending tampilannya seperti yg awal aja.;1;2021-05-25 06:16:55;NEGATIF;;;
ELDA TENIS;aplikasi sangat membantu saya;3;2021-05-25 05:54:59;NEGATIF;;;
Suro So;Top;5;2021-05-25 05:43:54;POSITIF;;;
•Sanc _ Inc•;Ap ny sih udh bagus. Tp jangan sering-sering update. Kan saya gatau klo gm ini update terus terusan, sy jd suka keluar masuk gm ini. Untungny sy dikasih tau sm temen sy klo coba update dlu;3;2021-05-25 04:38:15;NEGATIF;;;
Yunita Nita;Sangat bagus;5;2021-05-25 03:43:32;POSITIF;;;
Erika Nuraini;Untuk developer, tolong untuk fitur obrolan dikembangkan. Akan lebih nyaman jika saat masuk gmeet apabila anggota sebelumnya sudah melakukan obrolan, anggota yg baru bergabung bisa melihat obrolan yang telah anggota lain lakukan???? Supaya anggota yg baru bergabung tidak ketinggalan informasi??;4;2021-05-25 03:33:43;POSITIF;;;
Abdul Halim;Tampilan antar muka lebih enak yang sebelumnya.;2;2021-05-25 03:10:06;NEGATIF;;;
Sendi Maulana;Mantap;5;2021-05-25 03:08:14;POSITIF;;;
Margharet Suleman;Saya belum dpat mendownload,kenapa nggk bisa di downlod aplikasinya?????;5;2021-05-25 02:57:00;POSITIF;;;
Nurlaila Izzati;??;5;2021-05-25 02:45:29;POSITIF;;;
Dedi Kurniawan 8 B;Saya sangat kecewa karena aplikasi ini buat saya jadi susah mendapatkan informasi karena sering terkendala sinyal;1;2021-05-25 02:43:38;NEGATIF;;;
Junitasari. Alkautsar;kenapa tidak bisa mengakses kamera..ketika saya meet wajah saya tidak kelar??;4;2021-05-25 02:40:08;POSITIF;;;
Ayu Vidya;Kadang putus.;4;2021-05-25 02:35:21;POSITIF;;;
mzaraal;Aplikasi google meet ini bagus tapi gurunya aja yang tolol;5;2021-05-25 02:27:09;POSITIF;;;
Muhamad Fabian 486;????;5;2021-05-25 02:22:33;POSITIF;;;
11 devan abimantara 11 devan abimantara;Aplikasi ini bagus ...tapi masalahnya suaranya agak putus2;3;2021-05-25 02:07:25;NEGATIF;;;
Bunda Rinjani;Di update gak bisa², setiap mau meet sekolah anak gak bisa masuk terus...coba uninstal trus instal ulang malah loading aja gak bisa² instal...hadeeuuhh;1;2021-05-25 01:27:57;NEGATIF;;;
Riri Cahya;Sangat bermanfaat untuk belajar anak aku makasih google meet;5;2021-05-25 01:22:46;POSITIF;;;
Muhamad Yasir;Aplikasi nya jelek sering putus putus susah loginya di saat kuliah online;1;2021-05-25 01:16:38;NEGATIF;;;
RAFADIL CAHYO PUTRA ALI;Sangat membantu untuk pembelajaran;5;2021-05-25 01:05:51;POSITIF;;;
MISBAKHUDDIN;Sangat jelek gmeet yang terbaru ini... Nyesel ke update gegara wifi...;1;2021-05-25 00:48:52;NEGATIF;;;
Lidya Natalia;Sering ilang suaranya padahal udah mengatifkan mic;1;2021-05-24 23:44:38;NEGATIF;;;
Aqnia Zalfa Nabillah;makasih sudah membantu program kegiatan belajar??;4;2021-05-24 23:37:47;POSITIF;;;
sucianitacahyanti baiq;Lumayan baik;4;2021-05-24 23:33:29;POSITIF;;;
geristheroderan;Bagus;5;2021-05-24 23:18:30;POSITIF;;;
Mila Amalia;Aplikasi ini sangat error;2;2021-05-24 23:08:40;NEGATIF;;;
Nur Hikmah;masa ga bisa download si kocak!!!!;1;2021-05-24 23:06:45;NEGATIF;;;
Mputaweng Fatimah;jelek bikin aku stress;1;2021-05-24 17:48:37;NEGATIF;;;
Rifan Priananda;Tidak bagus lebih baik langsung datang ke sekolah saja Bikin susah aja;1;2021-05-24 16:47:59;NEGATIF;;;
Habil Geming;Porno;1;2021-05-24 16:25:38;NEGATIF;;;
Cynthia Dian;Temen saya bisa pke background kok saya engga? ??;3;2021-05-24 15:29:25;NEGATIF;;;
024_nana khadijah;Sangat bermanfaat, maa shaa Allahh;5;2021-05-24 15:16:21;POSITIF;;;
Hasan Basri;Semoga lancar;5;2021-05-24 14:21:33;POSITIF;;;
Ini Eros pak Anak ganteng Ekp;Download tidak bisa ni bgmn Google;5;2021-05-24 14:12:46;POSITIF;;;
Hilda Hilmawati;Susah banget anjir versi baru bangke banget share screen dari orang ga keliatan mana keluar masuk terus??????;1;2021-05-24 13:11:53;NEGATIF;;;
Ghofur ANS;Aplikasi sangat membantu banget;5;2021-05-24 12:17:29;POSITIF;;;
Makan Nasi;Macet banget ???????? Suka keluar sendiri, make link g bisa make kode langsung keluar padahal sinyal lancar memori jga gk penuh;1;2021-05-24 12:13:29;NEGATIF;;;
pesilat cilik daffa arya;bolak balik kon update trus...;1;2021-05-24 12:02:03;NEGATIF;;;
Aulia Pebriyani;Memudahkan belajar;5;2021-05-24 11:59:58;POSITIF;;;
Rangga Gunawan 9A;Sangat bagus;5;2021-05-24 11:30:09;POSITIF;;;
Salsabila Maretta;????;5;2021-05-24 10:45:14;POSITIF;;;
Mochamad Zaki;Nice;5;2021-05-24 10:24:07;POSITIF;;;
Andy Yusup;Oke;5;2021-05-24 09:33:03;POSITIF;;;
Fahad Abdul karim;Ini bagus;4;2021-05-24 07:59:45;POSITIF;;;
FAHRUL ROSI;Bagus;5;2021-05-24 06:45:38;POSITIF;;;
Frost Autumn;????????????;5;2021-05-24 06:38:35;POSITIF;;;
